"date","CL","RB","HO","NG","TG","LU","HG","AL","LD","TR","TH","ZC","KE","ZS","ZM","RS","KC","SB","SW","CC","CT","LE","GF","HE","LB","CU","XR","ZK"
1990-01-01,3.39843797683716,NA,NA,NA,2.66666698455811,NA,NA,NA,NA,4.16606378555298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.875,18.375,NA,NA,NA,NA
1990-02-01,3.546875,NA,NA,NA,2.77777791023254,NA,NA,NA,NA,4.41203117370605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17.8125,NA,NA,NA,NA
1990-03-01,3.71875,NA,NA,NA,3.05555605888367,NA,NA,NA,NA,4.38128519058228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,17.8125,NA,NA,NA,NA
1990-04-01,3.52343797683716,NA,NA,NA,2.72222208976746,NA,NA,NA,NA,4.55038690567017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.875,16.75,NA,NA,NA,NA
1990-05-01,4.03906297683716,NA,NA,NA,2.80555605888367,NA,NA,NA,NA,5.31903409957886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16.3125,NA,NA,NA,NA
1990-06-01,4.27343797683716,NA,NA,NA,2.80555605888367,NA,NA,NA,NA,5.3805251121521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,16.5,NA,NA,NA,NA
1990-07-01,4.375,NA,NA,NA,2.58333301544189,NA,NA,NA,NA,5.31903409957886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.375,16.0625,NA,NA,NA,NA
1990-08-01,4.09375,NA,NA,NA,2.05555605888367,NA,NA,NA,NA,4.2275562286377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,15,NA,NA,NA,NA
1990-09-01,3.71875,NA,NA,NA,1.86111104488373,NA,NA,NA,NA,4.31979322433472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,14.0625,NA,NA,NA,NA
1990-10-01,4.17968797683716,NA,NA,NA,1.88888895511627,NA,NA,NA,NA,4.30441999435425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.375,13.875,NA,NA,NA,NA
1990-11-01,4.41406297683716,NA,NA,NA,1.77777802944183,NA,NA,NA,NA,4.73486185073853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.375,14.6875,NA,NA,NA,NA
