"quarter","asset.class","flow","gdp.q","pctGDP"
1990 Q1,"FDI",46046806133.5382,6836388250000,0.673554579547734
1990 Q1,"Other Inv",110768173437.664,6836388250000,1.62027329910153
1990 Q1,"Port. Debt",6006213679.07183,6836388250000,0.0878565327104094
1990 Q1,"Port. Equity",7666408113.20994,6836388250000,0.112141204285903
1990 Q2,"FDI",47476772896.22,6836388250000,0.694471571245532
1990 Q2,"Other Inv",89615285966.0862,6836388250000,1.31085717617173
1990 Q2,"Port. Debt",41318113344.4192,6836388250000,0.604385120233907
1990 Q2,"Port. Equity",385743711.20463,6836388250000,0.00564250737521571
1990 Q3,"FDI",51120496124.968,6836388250000,0.747770522321754
1990 Q3,"Other Inv",175627257494.473,6836388250000,2.56900648517838
1990 Q3,"Port. Debt",58393882448.5363,6836388250000,0.854162758362009
1990 Q3,"Port. Equity",-723604614.372797,6836388250000,-0.0105846038567631
1990 Q4,"FDI",51046372237.4694,6836388250000,0.746686267232839
1990 Q4,"Other Inv",132509741341.597,6836388250000,1.93830040799097
1990 Q4,"Port. Debt",67869894740.2702,6836388250000,0.992774141232692
1990 Q4,"Port. Equity",-5744285041.03502,6836388250000,-0.0840251435549322
1991 Q1,"FDI",31875649901.2037,7228729250000,0.440957861317101
1991 Q1,"Other Inv",85912331076.8989,7228729250000,1.18848456078084
1991 Q1,"Port. Debt",57224250376.6099,7228729250000,0.791622543846276
1991 Q1,"Port. Equity",2431902194.65522,7228729250000,0.0336421812264613
1991 Q2,"FDI",33907615189.7309,7228729250000,0.469067439339091
1991 Q2,"Other Inv",-25337927226.2593,7228729250000,-0.350517032108503
1991 Q2,"Port. Debt",41305178311.4436,7228729250000,0.571403034792646
1991 Q2,"Port. Equity",19182371017.043,7228729250000,0.265362975339586
1991 Q3,"FDI",40450558166.3597,7228729250000,0.55958048458323
1991 Q3,"Other Inv",28321255767.5954,7228729250000,0.39178747450799
1991 Q3,"Port. Debt",55766366188.8616,7228729250000,0.771454625843976
1991 Q3,"Port. Equity",10222893889.2807,7228729250000,0.141420345619954
1991 Q4,"FDI",26080386650.7061,7228729250000,0.360787985671287
1991 Q4,"Other Inv",79998153563.7691,7228729250000,1.1066696620816
1991 Q4,"Port. Debt",98471270965.7443,7228729250000,1.36222104273368
1991 Q4,"Port. Equity",4135505814.98771,7228729250000,0.0572093057017969
1992 Q1,"FDI",30253784634.7468,8237632250000,0.367263112950287
1992 Q1,"Other Inv",70484524406.6257,8237632250000,0.855640580539702
1992 Q1,"Port. Debt",53528095822.6928,8237632250000,0.649799532173737
1992 Q1,"Port. Equity",6185306194.32587,8237632250000,0.0750859713885124
1992 Q2,"FDI",35511484468.7063,8237632250000,0.431088489883805
