"quarter","Africa-ME Liability FDI","Africa-ME Liability Other Inv","Africa-ME Liability Port. Debt","Africa-ME Liability Port. Equity","Asia-Pacific Liability FDI","Asia-Pacific Liability Other Inv","Asia-Pacific Liability Port. Debt","Asia-Pacific Liability Port. Equity","CE Europe Liability FDI","CE Europe Liability Other Inv","CE Europe Liability Port. Debt","CE Europe Liability Port. Equity","Em. Asia Liability FDI","Em. Asia Liability Other Inv","Em. Asia Liability Port. Debt","Em. Asia Liability Port. Equity","Latin America Liability FDI","Latin America Liability Other Inv","Latin America Liability Port. Debt","Latin America Liability Port. Equity","North America Liability FDI","North America Liability Other Inv","North America Liability Port. Debt","North America Liability Port. Equity","W Europe Liability FDI","W Europe Liability Other Inv","W Europe Liability Port. Debt","W Europe Liability Port. Equity"
1990 Q1,22943325.8530097,-1298357929.98573,-92030268.8638335,678062352.451589,2264815482.30346,530724450.524209,4500534851.00607,647966454.668887,1.22e+08,177046889.580603,1.89e+08,5e+06,956101936.836526,1707509224.13278,-173136465.029819,145754219.440425,658400000,7097983494.96467,5.25e+08,4.52e+08,19663623880.0636,-35644600681.1951,2196920109.15076,-3081322432.11709,22358921508.4816,138197867989.643,-1140074547.19134,8818947518.76613
1990 Q2,-114041238.868715,833678091.521389,-8699002.5163108,-497840250.425663,2753934273.89524,146991028.09911,1299052733.24408,386427339.352315,2.75e+08,246735546.112931,1.5e+08,1.17e+08,812519405.375046,2969120703.88295,-304091446.926257,426655936.807697,1034700000,2791386394.62573,9.8e+07,7.5e+08,19311255882.4525,28261806610.6153,12567548875.1124,-4082706741.46518,23403404573.3659,54365567591.2288,27516302185.5053,3286207426.93546
1990 Q3,196774902.700456,-589807285.789827,-29043009.6791334,158640334.182922,1701212048.82584,6565070902.55042,1111352697.95077,453858776.928984,1.74e+08,1300529729.79809,2.17e+08,-1.8e+07,717409629.065531,2166895275.2363,-51446142.8857116,-2232160.73279049,1096800000,2415580110.39762,2.07e+08,6.37e+08,22082954025.4433,48979270974.952,17081611778.7869,-3099729936.30692,25151345518.9329,114789717787.328,39857407124.3635,1146858371.555
1990 Q4,-30399401.8044578,1081987323.38754,-73948485.4267984,31993034.8717071,2783415054.52573,2310321130.549,-933769154.90314,131280287.32876,1.44e+08,1004288926.08356,3.6e+07,-1.5e+07,1050518771.7319,3210505706.81904,-42110338.0247701,-130482598.248524,2696300000,3342127047.84866,-4.8e+07,2.59e+08,18573874153.475,37056974429.2257,23590014746.7054,-7198181561.21134,25828663659.5412,84503536777.6832,45341707971.9194,1177105796.22438
1991 Q1,222360224.41478,139403462.952215,477288237.57013,-20015322.1125943,1429152972.23527,712217269.08776,5772292953.86557,-268640308.289464,379764925.763314,-211267150.43032,3e+06,4.3e+07,1077451744.13123,4573627381.84439,-44968500.8534688,59021157.3701778,2518700000,2089927739.68475,3730600000,407900000,7917601135.12811,167689164.0259,8651754867.5916,1573547407.58046,18330618899.531,78440733209.7342,38634282818.436,637089260.10664
1991 Q2,-22949209.4979317,75271989.6266679,205753176.415676,168479670.796789,-2224281966.91371,2332993657.73098,1519812684.53803,2370406260.20925,401100873.832238,110150941.900881,2.01e+08,3.7e+07,672596947.72204,3037904853.48274,-5e+06,12435453.1967943,1987700000,783641449.903463,1.973e+09,3009800000,14856446280.9917,-29817519142.3063,24506025137.1971,7174500367.74466,18237002263.5965,-1860370976.59769,12904587313.2929,6409749265.09546
1991 Q3,341137613.969552,-546718495.031334,915188380.753205,-1095282418.82107,2959563339.97889,1840816555.25585,2771947429.73301,409679058.676361,853321595.963724,-13975173.1951535,6e+07,2.7e+07,719592246.917512,3505829495.51306,-78632132.754304,-65286460.1244391,2107900000,-2181059312.69925,1.991e+09,1777500000,15136267105.9487,23457295596.7751,16009835656.095,2356929978.62826,18332776263.5813,2259067100.97706,34097026855.0347,6812353730.9216
1991 Q4,59184992.85374,233429585.516913,681286231.538827,-482349595.045259,1902832181.14438,423417246.245757,3929772173.40852,453601614.075068,733853814.700527,1244339353.77728,3.03e+08,4e+07,1026345032.33018,2432046714.16905,-1845612.8986128,31218345.8382379,2564400000,6119443574.55445,1.0854e+10,1737800000,153905580.975182,33623297923.7509,26334670936.1849,-1540696538.6056,19639865048.7021,35922179165.7548,56370387237.5106,3895931988.72526
1992 Q1,52556445.861555,787607093.938079,1029414152.02913,-455821979.88793,1568449528.98742,2693574169.2332,1241012901.45257,194837652.391961,598106746.575255,673245780.84583,2.34e+08,1.11e+08,1011813268.43965,2686156083.69762,149775346.152173,90462266.5062824,2799969380.77004,5304360427.767,4644806000,2860495635.41727,5674068593.09058,13409127974.7982,21042357482.8253,-2840328111.81167,18548820671.0223,44930452876.3457,25186729940.2336,6224660731.70996
1992 Q2,275425186.77378,600669069.242592,636573079.965546,-165170597.851882,1190643128.98277,2794602940.5148,87614169.474559,617500193.118999,533841866.949125,1982849476.50137,8.8e+08,7.6e+07,1128581953.6383,3218562916.23549,188377823.585858,-124471918.279734,2250669380.77004,-3119795010.80905,4621167500,2367136248.47468,12400559686.3331,21366255142.559,34503621443.2113,-1531722565.95266,17731763265.2591,48225933281.3746,37192285518.1711,8205992604.07767
