"quarter","Africa-ME Asset FDI","Africa-ME Asset Other Inv","Africa-ME Asset Port. Debt","Africa-ME Asset Port. Equity","Asia-Pacific Asset FDI","Asia-Pacific Asset Other Inv","Asia-Pacific Asset Port. Debt","Asia-Pacific Asset Port. Equity","CE Europe Asset FDI","CE Europe Asset Other Inv","CE Europe Asset Port. Debt","CE Europe Asset Port. Equity","Em. Asia Asset FDI","Em. Asia Asset Other Inv","Em. Asia Asset Port. Debt","Em. Asia Asset Port. Equity","Latin America Asset FDI","Latin America Asset Other Inv","Latin America Asset Port. Debt","Latin America Asset Port. Equity","North America Asset FDI","North America Asset Other Inv","North America Asset Port. Debt","North America Asset Port. Equity","W Europe Asset FDI","W Europe Asset Other Inv","W Europe Asset Port. Debt","W Europe Asset Port. Equity"
1990 Q1,148638421.120182,232907927.846639,56900000,568653259.385732,1593509957.4303,3350456863.72593,942249307.349145,-1652249980.09331,NA,-146888159.179827,NA,2.7e+07,54027575.2209986,18345328.8438854,NA,NA,101200000,921100000,7.141e+09,NA,15421696704.6398,-63169888493.472,8248398092.43397,253546189.466036,28149883521.9117,94517985878.9983,13789768853.5763,7176303926.04472
1990 Q2,27399202.9171124,-5507975.34919506,4e+07,-414052001.747857,119222513.842208,2499688.47033215,-573676807.03847,-212216917.315366,NA,-63917679.090905,NA,7e+06,20186453.3155804,28909471.383116,NA,NA,190200000,-1779200000,4e+07,NA,10803769199.3744,22870257828.4758,5636146358.35865,5759764714.43137,30924806798.6069,31737711720.6152,15396796361.192,-2756390346.47552
1990 Q3,68964476.821158,264180517.575675,84800000,145381434.53944,1258708835.53615,4440081492.25981,-12786233.377794,-276747916.41405,NA,1005429366.14782,NA,1.15e+08,10377589.3717453,-74444518.4742933,NA,NA,150400000,3277700000,6.4e+07,NA,31577647821.892,29238619476.3224,148039197.585103,1582075925.98373,32135523958.1463,110018720642.387,13774423547.2988,2826720456.32843
1990 Q4,-17627879.5975177,-226135732.476951,200200000,18160003.8168692,-1205163166.45468,-2163484111.42851,295318082.111804,1359607260.36823,1.5e+07,138004495.445792,NA,-1.5e+07,55585507.218474,190925864.693827,NA,NA,224300000,1160500000,4.17e+08,NA,8187271635.92337,26743520722.6164,7390372779.41277,1991989372.59996,40827619438.8271,65139106895.2857,27530282254.5588,5087823984.18545
1991 Q1,60579918.7463726,-824921280.711937,-15830121.8804411,101912013.929193,114692037.974453,861485966.109436,524153570.029346,1131017938.75206,9e+06,883696218.754122,NA,1.8e+07,6729441.14884656,-475019.375212698,NA,NA,106400000,1242700000,7.32e+08,NA,20398006621.0231,-18409676564.3957,3417905493.48715,8434913428.06703,29196148438.3036,47244271315.5049,29459624602.0877,11720932095.447
1991 Q2,20953746.7583344,647647581.580433,-19979623.8834263,180556544.175956,-2861199725.26696,1232863325.45319,-71318488.9167853,181509182.463389,1.3e+07,-189764976.452636,NA,2.4e+07,40191072.8711441,-213819626.283439,NA,NA,2.02e+08,1184400000,2.33e+08,NA,5098929144.96103,-15644157255.4498,3636809408.17046,12380073592.4519,26968587712.8106,-34744102080.8498,16169696068.0931,11816639103.4433
1991 Q3,162766495.105859,581654674.17808,27343884.7111374,88313154.9100935,818952667.995778,755859919.471483,666719917.125992,1256410652.43736,1e+06,878540495.31354,NA,1.1e+07,79496095.1545048,-270917397.73761,NA,NA,377600000,1.051e+09,1.4e+08,NA,25412229321.9421,-1042396133.23644,4547763265.09903,10120085563.9133,22232825344.7497,-15525780701.1175,21067773541.2431,16585200392.9334
1991 Q4,293137636.969985,437458122.915674,2168032.3963792,237644735.588375,2346699930.48187,1631040998.4476,869552077.442148,-8796742.0563776,7e+06,1281750805.24692,NA,3.8e+07,40682020.4885716,133512422.452841,NA,NA,455300000,-1520700000,7.759e+09,NA,4837379167.00329,15081802598.4327,4856949698.51424,8461278652.16402,28499384970.0472,31562582900.7842,20833836329.3497,2180510607.05897
1992 Q1,384423532.630228,84237756.353414,68116502.8394619,8665156.689244,950474889.118141,590104512.835187,214139174.993788,1593656616.39018,14200000,349301521.966755,109900000,8e+06,-4281540.186359,373947363.065483,NA,NA,472350300,1974088325,-405318400,7.6e+07,24812345576.3143,-24695784379.7397,1973817616.48527,10796912382.2049,20863905128.3069,3863464451.46668,48108012594.9067,7323186466.05585
1992 Q2,512853629.124404,817986179.619245,74239727.8815898,290589354.334031,632435298.816262,1359108051.59614,594384808.309175,288811628.08921,3.5e+07,692858887.543717,2.1e+07,1.7e+07,19203790.9184729,-606761410.203667,NA,NA,402576000,-6072715775,-1048354000,7.5e+07,17983813032.4681,1813192297.39992,6315917510.3292,5687309978.62956,21228651513.5313,18587496341.8353,30349170600.7781,7822338660.2629
1992 Q3,948809115.570348,-239424626.277007,249629459.18387,225625155.357177,989579465.654251,2284399050.12781,1433112535.72987,-416702974.138037,-1544506.94881169,1099117268.02165,167100000,3.7e+07,79559010.6214569,699984581.996653,NA,NA,403113000,938063225,-847834000,7.9e+07,14471551184.5889,2344351521.61631,3231394269.50963,10050895840.1772,23923704242.3945,140642631696.137,26263631277.2891,1558963995.04414
