date,global_ndc_usd_bil
1990 Q1,13685.767163005796
1990 Q2,14401.672771155283
1990 Q3,15588.131651398218
1990 Q4,16118.2631248912
1991 Q1,15258.841155698772
1991 Q2,15341.597225913041
1991 Q3,15972.939191820886
1991 Q4,17063.51439478468
1992 Q1,16355.0812220899
1992 Q2,17342.930343298452
1992 Q3,18054.624169897346
1992 Q4,17039.51851716177
1993 Q1,17547.741646890165
1993 Q2,18126.810225280853
1993 Q3,18451.506404631684
1993 Q4,18027.19760844752
1994 Q1,18557.23855642806
1994 Q2,19340.674924519033
1994 Q3,19992.559301723097
1994 Q4,20219.19945048359
1995 Q1,21839.844858058463
1995 Q2,22668.63377968044
1995 Q3,21357.065623451337
1995 Q4,21335.436013473703
1996 Q1,21148.06041653058
1996 Q2,21153.75071232167
1996 Q3,21250.4754281352
1996 Q4,21322.04539344225
1997 Q1,20454.30699106319
1997 Q2,21347.362067086517
1997 Q3,20836.549483248058
1997 Q4,20725.804343833555
1998 Q1,20229.52259763781
1998 Q2,20177.448500862134
1998 Q3,20872.329305286657
1998 Q4,22372.97684133763
1999 Q1,22044.375306583825
1999 Q2,22134.67925951893
1999 Q3,23558.97776232899
1999 Q4,24425.487131234655
2000 Q1,24347.530395016038
2000 Q2,24441.029598857855
2000 Q3,24630.314625622213
2000 Q4,24492.309270479036
2001 Q1,23862.85490245413
2001 Q2,24080.07388914706
2001 Q3,24826.923654927687
2001 Q4,25131.513644155933
2002 Q1,25606.963105433115
2002 Q2,26947.189891117756
2002 Q3,26895.732565109807
2002 Q4,28123.45750862961
2003 Q1,28605.11810488849
2003 Q2,29719.05224862533
2003 Q3,30657.21342402796
2003 Q4,32537.64524544433
2004 Q1,32763.062265780685
2004 Q2,32605.661411148776
2004 Q3,33230.16532784677
2004 Q4,36087.50374519065
2005 Q1,35706.14520722262
2005 Q2,35263.91466597455
2005 Q3,35966.4909665074
2005 Q4,36141.73119903791
2006 Q1,37675.97893222275
2006 Q2,39747.707121670996
2006 Q3,40610.26216657574
2006 Q4,42881.037146359115
2007 Q1,44426.87976151532
2007 Q2,46297.94489747547
2007 Q3,49440.1452330712
2007 Q4,51744.13735110459
2008 Q1,55798.94386232919
2008 Q2,56586.14176900807
2008 Q3,54180.50818323994
2008 Q4,53375.0339740759
2009 Q1,50703.96478059964
2009 Q2,53193.83172155739
2009 Q3,54334.740751933336
2009 Q4,53917.46148803622
2010 Q1,53392.82394481356
2010 Q2,52491.64591061878
2010 Q3,56609.84177644709
2010 Q4,57543.17567620661
2011 Q1,59559.27211551789
2011 Q2,61192.59395324577
2011 Q3,60703.81846080718
2011 Q4,60254.0067398151
2012 Q1,61506.98937613723
2012 Q2,60692.65007028094
2012 Q3,62751.69550692734
2012 Q4,63109.599519893745
2013 Q1,62695.97819308886
2013 Q2,62878.04345365281
2013 Q3,64524.090907795515
2013 Q4,64752.229396168914
2014 Q1,65625.69234449815
2014 Q2,67170.06279514641
2014 Q3,64978.381668729045
2014 Q4,64362.29611522721
2015 Q1,63251.44877760428
2015 Q2,64603.586972837504
2015 Q3,63707.729132916764
2015 Q4,63775.60909739827
2016 Q1,67286.07886348465
2016 Q2,67415.09674388543
2016 Q3,68190.20598256902
2016 Q4,65517.837260144384
2017 Q1,67669.04327686672
2017 Q2,68778.03278509263
2017 Q3,70450.67358940968
2017 Q4,71932.53582617687
2018 Q1,74708.76986226326
2018 Q2,72194.54920489794
2018 Q3,71552.43277517016
2018 Q4,72110.87966802818
2019 Q1,73867.2965251321
2019 Q2,74942.05426724904
2019 Q3,74692.70809759974
2019 Q4,76717.86395821042
2020 Q1,77490.85648037399
2020 Q2,79503.52994200487
2020 Q3,81741.34667442719
2020 Q4,85565.1598403054
2021 Q1,85075.11128067333
2021 Q2,86943.51228943485
2021 Q3,86041.22484825377
2021 Q4,87020.097600478
2022 Q1,88828.43733978097
2022 Q2,86717.4220079649
2022 Q3,84595.06507985972
2022 Q4,88596.36524363738
2023 Q1,90898.12097884328
2023 Q2,89877.69627238213
2023 Q3,89069.66134395049
2023 Q4,91293.41373030165
2024 Q1,91109.1298042263
2024 Q2,90641.80513332861
2024 Q3,94456.22665700041
2024 Q4,89743.5318835884
