block,date,med_leverage,lev_qoq
Asia Pacific,1990 Q1,1.1943340880146431,NA
Central and E. Europe,1990 Q1,1.1132876325380767,NA
Emerging Asia,1990 Q1,1.149378620506582,NA
Latin America,1990 Q1,1.4669665170552937,NA
ME/Africa,1990 Q1,0.9507266604975884,NA
North America,1990 Q1,1.2614627806394982,NA
W. Europe,1990 Q1,1.114609661379886,NA
Asia Pacific,1990 Q2,1.1393647371728746,-0.046025104192701116
Central and E. Europe,1990 Q2,1.1138546452440812,5.09313756330787e-4
Emerging Asia,1990 Q2,1.1882093695042624,0.033784123268767674
Latin America,1990 Q2,1.4670206900533516,3.692858523218767e-5
ME/Africa,1990 Q2,0.9558382066693616,0.005376462430429774
North America,1990 Q2,1.256634000433118,-0.003827921267666956
W. Europe,1990 Q2,1.1649801216044575,0.04519112113402368
Asia Pacific,1990 Q3,1.1389696539236978,-3.4675748361068237e-4
Central and E. Europe,1990 Q3,1.1135723316762622,-2.534563814267088e-4
Emerging Asia,1990 Q3,1.230323565372352,0.035443413382323596
Latin America,1990 Q3,1.4192995466193716,-0.032529291343699085
ME/Africa,1990 Q3,0.9653852839990146,0.009988172959647601
North America,1990 Q3,1.2533358936017387,-0.0026245564183704495
W. Europe,1990 Q3,1.1595731716804425,-0.00464123792650506
Asia Pacific,1990 Q4,1.1321810256743556,-0.005960324075321544
Central and E. Europe,1990 Q4,1.102433420384977,-0.010002862835607473
Emerging Asia,1990 Q4,1.264638833299674,0.02789125470171472
Latin America,1990 Q4,1.374337889395118,-0.03167876529753555
ME/Africa,1990 Q4,0.9874882844569904,0.02289552246582449
North America,1990 Q4,1.217671182359913,-0.02845582850047912
W. Europe,1990 Q4,1.1352212047197603,-0.021000802325731205
Asia Pacific,1991 Q1,1.1737446701859875,0.03671112973022628
Central and E. Europe,1991 Q1,1.0845902352759462,-0.01618527230678468
Emerging Asia,1991 Q1,1.2646756735403335,2.9131037011742578e-5
Latin America,1991 Q1,1.2931719065286729,-0.059058244331871235
ME/Africa,1991 Q1,0.9828880069284612,-0.004658564158114387
North America,1991 Q1,1.1884238224601975,-0.024019095075431096
W. Europe,1991 Q1,1.1413334786998286,0.005384214067404747
Asia Pacific,1991 Q2,1.1728923859677118,-7.261240369599298e-4
Central and E. Europe,1991 Q2,1.0225637274873514,-0.05718888643028752
Emerging Asia,1991 Q2,1.3152702510912286,0.04000597039180853
Latin America,1991 Q2,1.2469491525423728,-0.03574370410688721
ME/Africa,1991 Q2,0.9558469638997592,-0.02751182519075157
North America,1991 Q2,1.1716074944772237,-0.014150110141819439
W. Europe,1991 Q2,1.1498004769711307,0.007418513895647294
Asia Pacific,1991 Q3,1.1600935499098186,-0.010912199798563282
Central and E. Europe,1991 Q3,1.010861164133153,-0.011444336464930038
Emerging Asia,1991 Q3,1.279004292572919,-0.027573009036143792
Latin America,1991 Q3,1.2157378024593417,-0.025030170652424077
ME/Africa,1991 Q3,0.9984214048239396,0.044541064136962794
North America,1991 Q3,1.1598675743402302,-0.010020352543265165
W. Europe,1991 Q3,1.1446853251633256,-0.004448729940763174
Asia Pacific,1991 Q4,1.1561684888297972,-0.0033834004855268773
Central and E. Europe,1991 Q4,1.0584222527091594,0.047050070042795156
Emerging Asia,1991 Q4,1.2872388376799575,0.006438246653944768
Latin America,1991 Q4,1.2413238856314943,0.021045724761041384
ME/Africa,1991 Q4,0.988797988895626,-0.009638631425385569
North America,1991 Q4,1.1379804251872487,-0.018870386272701545
W. Europe,1991 Q4,1.1138434376175854,-0.02694355109456792
Asia Pacific,1992 Q1,1.1576017159072438,0.0012396351321573018
Central and E. Europe,1992 Q1,0.969790036717096,-0.08373994005246821
Emerging Asia,1992 Q1,1.3133260686767456,0.020266037842523676
Latin America,1992 Q1,1.2032064047633415,-0.030707119478943556
ME/Africa,1992 Q1,1.093535530724338,0.10592410482720727
North America,1992 Q1,1.119547300720733,-0.016198103287657695
W. Europe,1992 Q1,1.1164181550150147,0.0023115613114679245
Asia Pacific,1992 Q2,1.1558376471240792,-0.0015238995925140886
Central and E. Europe,1992 Q2,0.8941485770816905,-0.07799776938466463
Emerging Asia,1992 Q2,1.2671808824391313,-0.03513612296153412
Latin America,1992 Q2,1.2521889400921655,0.040710002153336644
ME/Africa,1992 Q2,1.0978879167199405,0.003980104782438598
North America,1992 Q2,1.1148491865184806,-0.0041964410072070635
W. Europe,1992 Q2,1.1293882789753673,0.011617621857983984
Asia Pacific,1992 Q3,1.168622646765083,0.011061241752087891
Central and E. Europe,1992 Q3,0.8257277905013899,-0.07652060108803327
Emerging Asia,1992 Q3,1.2333476331275577,-0.02669962100947243
Latin America,1992 Q3,1.27519155576596,0.018369924008513783
ME/Africa,1992 Q3,1.0912121587691184,-0.006080545973004781
North America,1992 Q3,1.105136584088409,-0.008712032575816542
W. Europe,1992 Q3,1.1555875371723563,0.023197742251015896
Asia Pacific,1992 Q4,1.1719404277168914,0.0028390524186676647
Central and E. Europe,1992 Q4,0.8429120190107063,0.020811009035897943
Emerging Asia,1992 Q4,1.2043160883458115,-0.023538817444459847
Latin America,1992 Q4,1.2879889123462958,0.010035634664039783
ME/Africa,1992 Q4,1.0925455978068068,0.0012219796370236402
North America,1992 Q4,1.0886716734247426,-0.014898530100917684
W. Europe,1992 Q4,1.1160055409706169,-0.034252702567729165
Asia Pacific,1993 Q1,1.1835446078972791,0.009901680926729606
Central and E. Europe,1993 Q1,0.9330620329002672,0.10695068032766519
Emerging Asia,1993 Q1,1.1847379332921106,-0.01625665823379674
Latin America,1993 Q1,1.2708348635983018,-0.013318475480308956
ME/Africa,1993 Q1,1.121381167444481,0.026393012516419567
North America,1993 Q1,1.0731141187951545,-0.014290400870491271
W. Europe,1993 Q1,1.1048507479155665,-0.009995284651856506
Asia Pacific,1993 Q2,1.1872172626360715,0.0031030978589960956
Central and E. Europe,1993 Q2,1.0522738307169446,0.12776406456720513
Emerging Asia,1993 Q2,1.281727953140254,0.08186622300396063
Latin America,1993 Q2,1.2859742580154188,0.011912951753818346
ME/Africa,1993 Q2,1.138730888441678,0.015471742794410881
North America,1993 Q2,1.0808993138790717,0.007254769038597786
W. Europe,1993 Q2,1.1149792144662714,0.009167271298692103
Asia Pacific,1993 Q3,1.1796768939120683,-0.006351296398151018
Central and E. Europe,1993 Q3,0.9954411450151373,-0.054009407098041695
Emerging Asia,1993 Q3,1.23223204310968,-0.03861654878424714
Latin America,1993 Q3,1.2724797749764525,-0.01049358721984972
ME/Africa,1993 Q3,1.1373960981100302,-0.0011721736410210681
North America,1993 Q3,1.0840467085194951,0.002911829621880635
W. Europe,1993 Q3,1.1073941233902798,-0.00680289908330034
Asia Pacific,1993 Q4,1.1783470846575137,-0.001127265661824306
Central and E. Europe,1993 Q4,0.9520686828594848,-0.04357109646597235
Emerging Asia,1993 Q4,1.2464967808256235,0.011576340508030247
Latin America,1993 Q4,1.2747590548360166,0.001791211070216292
ME/Africa,1993 Q4,1.1642640097322174,0.023622299801127067
North America,1993 Q4,1.0922777948440698,0.007592925895062219
W. Europe,1993 Q4,1.0776457212087522,-0.02686342789182683
Asia Pacific,1994 Q1,1.190725687628345,0.010505056729044338
Central and E. Europe,1994 Q1,1.0142462397314391,0.06530784804853318
Emerging Asia,1994 Q1,1.260449528305455,0.01119356880375566
Latin America,1994 Q1,1.3122123044916316,0.029380650024433796
ME/Africa,1994 Q1,1.1466971075648238,-0.015088418108392787
North America,1994 Q1,1.0995910602095167,0.0066954262001552856
W. Europe,1994 Q1,1.0628010497496687,-0.01377509432546431
Asia Pacific,1994 Q2,1.2040961994588342,0.011228876616511174
Central and E. Europe,1994 Q2,0.9079982287075892,-0.10475563710444047
Emerging Asia,1994 Q2,1.2792684278588584,0.014930307902691897
