country,date,leverage,lev_growth
AR,1990 Q1,2.6465809072444144,NA
AT,1990 Q1,1.114609661379886,NA
AU,1990 Q1,1.2095320736005863,NA
BE,1990 Q1,0.8104237413258526,NA
BG,1990 Q1,NA,NA
BO,1990 Q1,1.3867113507212587,NA
BR,1990 Q1,1.8863281650189565,NA
BY,1990 Q1,NA,NA
CA,1990 Q1,1.1037063189513336,NA
CH,1990 Q1,1.5287941093242943,NA
CL,1990 Q1,1.5472216833893282,NA
CN,1990 Q1,4.3698068272029635,NA
CO,1990 Q1,NA,NA
CR,1990 Q1,0.4602812837160605,NA
CY,1990 Q1,0.9188786508041572,NA
CZ,1990 Q1,NA,NA
DE,1990 Q1,1.6367174982491173,NA
DK,1990 Q1,0.9656136651304489,NA
ES,1990 Q1,1.3129565778428367,NA
FI,1990 Q1,1.6481642122251363,NA
FR,1990 Q1,1.5344572063727306,NA
GB,1990 Q1,NA,NA
HR,1990 Q1,NA,NA
HU,1990 Q1,1.5187166867103172,NA
ID,1990 Q1,1.269024135571218,NA
IE,1990 Q1,1.2402143269110546,NA
IL,1990 Q1,0.9047245339195731,NA
IS,1990 Q1,1.3156824603251445,NA
IT,1990 Q1,1.0026715678735119,NA
JP,1990 Q1,0.9564835859833587,NA
KR,1990 Q1,1.4414965013111847,NA
LT,1990 Q1,NA,NA
LU,1990 Q1,0.3721861884776802,NA
LV,1990 Q1,NA,NA
MT,1990 Q1,0.7764279161267744,NA
MX,1990 Q1,1.355886130776354,NA
MY,1990 Q1,1.149378620506582,NA
NL,1990 Q1,1.0751329576333013,NA
NO,1990 Q1,1.1818380647126674,NA
NZ,1990 Q1,1.1791361024287002,NA
PL,1990 Q1,0.5373862383946955,NA
PT,1990 Q1,0.6479704217857992,NA
RO,1990 Q1,1.7838123931275953,NA
SE,1990 Q1,NA,NA
SG,1990 Q1,1.0600389533406724,NA
SI,1990 Q1,NA,NA
SK,1990 Q1,NA,NA
TH,1990 Q1,1.1005931171008454,NA
TR,1990 Q1,0.7078585783658364,NA
US,1990 Q1,1.4192192423276628,NA
ZA,1990 Q1,0.9967287870756038,NA
AR,1990 Q2,2.25551936301122,-0.3910615442331946
AT,1990 Q2,1.135609957825763,0.021000296445877087
AU,1990 Q2,1.183760211095135,-0.02577186250545127
BE,1990 Q2,0.8576671035386632,0.04724336221281056
BG,1990 Q2,NA,NA
BO,1990 Q2,1.4349960993070534,0.04828474858579468
BR,1990 Q2,1.5603322297537192,-0.3259959352652373
BY,1990 Q2,NA,NA
CA,1990 Q2,1.1194600520086162,0.01575373305728256
CH,1990 Q2,1.5756210603815828,0.04682695105728851
CL,1990 Q2,1.4990452807996495,-0.0481764025896787
CN,1990 Q2,4.320949659265772,-0.04885716793719119
CO,1990 Q2,NA,NA
CR,1990 Q2,0.4335148755381295,-0.026766408177930967
CY,1990 Q2,0.9086245286939999,-0.010254122110157304
CZ,1990 Q2,NA,NA
DE,1990 Q2,1.5791972532979386,-0.05752024495117869
DK,1990 Q2,0.9371033780453909,-0.028510287085057984
ES,1990 Q2,1.2891800857909197,-0.02377649205191701
FI,1990 Q2,1.6676781492655142,0.01951393704037785
FR,1990 Q2,1.5681794306124592,0.03372222423972859
GB,1990 Q2,1.3475112174628139,NA
HR,1990 Q2,NA,NA
HU,1990 Q2,1.4953164183507892,-0.02340026835952802
ID,1990 Q2,1.1882093695042624,-0.08081476606695559
IE,1990 Q2,1.2792657327936197,0.03905140588256506
IL,1990 Q2,0.890869374611454,-0.013855159308119092
IS,1990 Q2,1.2510470024861096,-0.0646354578390349
IT,1990 Q2,1.0214720968218283,0.01880052894831641
JP,1990 Q2,0.9520261558771105,-0.004457430106248217
KR,1990 Q2,1.4744601132344068,0.03296361192322217
LT,1990 Q2,NA,NA
LU,1990 Q2,0.3697136563876651,-0.0024725320900150782
LV,1990 Q2,NA,NA
MT,1990 Q2,0.791590674205119,0.015162758078344551
MX,1990 Q2,1.1649224433457408,-0.1909636874306131
MY,1990 Q2,1.1913727239138183,0.041994103407236416
NL,1990 Q2,1.0655927496576538,-0.009540207975647474
NO,1990 Q2,1.1943502853831518,0.012512220670484409
NZ,1990 Q2,1.094969263250614,-0.0841668391780861
PL,1990 Q2,0.6920214039967248,0.1546351656020294
PT,1990 Q2,0.6651336627167304,0.017163240930931134
RO,1990 Q2,1.4558774049490717,-0.3279349881785236
SE,1990 Q2,NA,NA
SG,1990 Q2,1.0858380391442508,0.02579908580357837
SI,1990 Q2,NA,NA
SK,1990 Q2,NA,NA
TH,1990 Q2,1.1285768879279239,0.02798377082707848
TR,1990 Q2,0.7718318855390905,0.06397330717325411
US,1990 Q2,1.3938079488576198,-0.025411293470043006
ZA,1990 Q2,1.0208070387272692,0.02407825165166544
AR,1990 Q3,2.0318181818181817,-0.22370118119303806
AT,1990 Q3,1.1359688521112412,3.5889428547819513e-4
AU,1990 Q3,1.2083270142659266,0.024566803170791518
BE,1990 Q3,0.9013422048870025,0.043675101348339296
BG,1990 Q3,NA,NA
BO,1990 Q3,1.3755868544600942,-0.0594092448469592
BR,1990 Q3,1.5304245755804138,-0.02990765417330543
BY,1990 Q3,NA,NA
CA,1990 Q3,1.1291967133569762,0.009736661348360043
CH,1990 Q3,1.580106322692069,0.004485262310486293
CL,1990 Q3,1.4630122387786493,-0.03603304202100022
CN,1990 Q3,4.217351256440517,-0.10359840282525568
CO,1990 Q3,NA,NA
CR,1990 Q3,0.4692354545404661,0.035720579002336605
CY,1990 Q3,0.8943876424479583,-0.01423688624604158
CZ,1990 Q3,NA,NA
DE,1990 Q3,1.5995442419226218,0.020346988624683204
DK,1990 Q3,0.9368264976124596,-2.768804329312813e-4
ES,1990 Q3,1.2914801369950872,0.0023000512041675414
FI,1990 Q3,1.7374998441911338,0.06982169492561963
FR,1990 Q3,1.60089438379587,0.03271495318341078
GB,1990 Q3,1.3479290396069439,4.1782214412999785e-4
HR,1990 Q3,NA,NA
HU,1990 Q3,1.512877795021167,0.017561376670377715
ID,1990 Q3,1.3627766508639483,0.1745672813596859
IE,1990 Q3,1.1831774912496436,-0.0960882415439761
IL,1990 Q3,0.9049309587544572,0.01406158414300318
IS,1990 Q3,1.2309577092079256,-0.020089293278183984
IT,1990 Q3,1.0084569708908824,-0.013015125930945892
JP,1990 Q3,0.9658354388663078,0.013809282989197369
KR,1990 Q3,1.5544498270618974,0.07998971382749054
LT,1990 Q3,NA,NA
LU,1990 Q3,0.3592444289693593,-0.010469227418305804
LV,1990 Q3,NA,NA
