"quarter","country","return","lev_growth","VIX_t","delta_VIX","VIX_lag","credit_l","credit_nb_l","credit_a","debt_l","debt_a","equity_l","equity_a","credit_l_lag","credit_nb_l_lag","credit_a_lag","debt_l_lag","debt_a_lag","equity_l_lag","equity_a_lag","GDPg_lag","NEER_lag"
1990 Q1,"AR",NA,NA,19.73,NA,NA,-0.00150649625864774,NA,-0.000735,-0.000375,-2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990 Q2,"AR",21.2651750546846,-0.391061544233195,15.5,-4.23,19.73,-0.000307092985577149,-0.000646000000000001,-0.00038,-7.1e-05,-2.7e-05,NA,NA,-0.00150649625864774,NA,-0.000735,-0.000375,-2.3e-05,NA,NA,NA,NA
1990 Q3,"AR",10.6006249799241,-0.223701181193038,29.11,13.61,15.5,-0.00135565835255851,-7.00000000000006e-05,0.000335,-0.000114,-1.8e-05,NA,NA,-0.000307092985577149,-0.000646000000000001,-0.00038,-7.1e-05,-2.7e-05,NA,NA,NA,NA
1990 Q4,"AR",-17.472520990202,-0.138998938804386,26.38,-2.73,29.11,-0.000164052621615518,0.000380999999999999,0.000119,-0.000508,0.000309,NA,NA,-0.00135565835255851,-7.00000000000006e-05,0.000335,-0.000114,-1.8e-05,NA,NA,NA,NA
1991 Q1,"AR",107.298951388125,-0.0436128938074463,16.88,-9.5,26.38,-0.00184356804940398,0.000125,-0.001393,0.000333,0.000585,NA,NA,-0.000164052621615518,0.000380999999999999,0.000119,-0.000508,0.000309,NA,NA,NA,NA
1991 Q2,"AR",-1.95630818989638,-0.0944804063926321,19.55,2.67,16.88,-0.000514010570515002,-0.000140999999999999,-0.000294,2.2e-05,8.4e-05,NA,NA,-0.00184356804940398,0.000125,-0.001393,0.000333,0.000585,NA,NA,NA,NA
1991 Q3,"AR",90.0528491007484,-0.131428885175668,15.85,-3.7,19.55,-0.000361862203916492,-7.19999999999991e-05,0.000645,0.00032,-1.2e-05,NA,NA,-0.000514010570515002,-0.000140999999999999,-0.000294,2.2e-05,8.4e-05,NA,NA,NA,NA
1991 Q4,"AR",20.4222860002347,0.00192816758717606,19.31,3.46,15.85,0.00239961059826248,0.000669999999999997,0.000616,0.008069,0.007604,NA,NA,-0.000361862203916492,-7.19999999999991e-05,0.000645,0.00032,-1.2e-05,NA,NA,NA,NA
1992 Q1,"AR",-6.82642376164067,-0.136815905251312,16.18,-3.13,19.31,0.000186133095712706,9.90000000000019e-05,0.000863988325,0.000862806,-0.0005643184,0.000321395635417275,7.6e-05,0.00239961059826248,0.000669999999999997,0.000616,0.008069,0.007604,NA,NA,NA,NA
1992 Q2,"AR",-12.4246193630737,-0.0451010038504056,13.35,-2.83,16.18,0.000803715782795895,0.000104,0.000208984225000001,0.0005381675,-0.000485354,-2.71637515253196e-05,7.5e-05,0.000186133095712706,9.90000000000019e-05,0.000863988325,0.000862806,-0.0005643184,0.000321395635417275,7.6e-05,NA,NA
1992 Q3,"AR",-45.3097588876822,-0.0233679326203713,14.28,0.93,13.35,0.000998355983723218,-0.000563000000000001,0.000364463225,0.0004763285,-0.000497834,0.00057820860858746,7.9e-05,0.000803715782795895,0.000104,0.000208984225000001,0.0005381675,-0.000485354,-2.71637515253196e-05,7.5e-05,NA,NA
