"DATE","CLOSE"
1990-03-30,19.73
1990-06-29,15.5
1990-09-28,29.11
1990-12-31,26.38
1991-03-28,16.88
1991-06-28,19.55
1991-09-30,15.85
1991-12-31,19.31
1992-03-31,16.18
1992-06-30,13.35
1992-09-30,14.28
1992-12-31,12.57
1993-03-31,12.53
1993-06-30,11.26
1993-09-30,12.99
1993-12-31,11.66
1994-03-31,20.45
1994-06-30,14.97
1994-09-30,14.28
1994-12-30,13.2
1995-03-31,13.37
1995-06-30,11.38
1995-09-29,12.74
1995-12-29,12.52
1996-03-29,18.88
1996-06-28,13.68
1996-09-30,16.95
1996-12-31,20.92
1997-03-31,22.14
1997-06-30,21.53
1997-09-30,22.91
1997-12-31,24.01
1998-03-31,24.22
1998-06-30,19.71
1998-09-30,40.95
1998-12-31,24.42
1999-03-31,23.26
1999-06-30,21.09
1999-09-30,25.41
1999-12-30,24.76
2000-03-31,24.11
2000-06-30,19.54
2000-09-29,20.57
2000-12-29,26.85
2001-03-30,28.64
2001-06-29,19.06
2001-09-28,31.93
2001-12-31,23.8
2002-03-28,17.4
2002-06-28,25.4
2002-09-30,39.69
2002-12-31,28.62
2003-03-31,29.15
2003-06-30,19.52
2003-09-30,22.72
2003-12-31,18.31
2004-03-31,16.74
2004-06-30,14.34
2004-09-30,13.34
2004-12-31,13.29
2005-03-31,14.02
2005-06-30,12.04
2005-09-30,11.92
2005-12-30,12.07
2006-03-31,11.39
2006-06-30,13.08
2006-09-29,11.98
2006-12-29,11.56
2007-03-30,14.64
2007-06-29,16.23
2007-09-28,18
2007-12-31,22.5
2008-03-31,25.61
2008-06-30,23.95
2008-09-30,39.39
2008-12-31,40
2009-03-31,44.14
2009-06-30,26.35
2009-09-30,25.61
2009-12-31,21.68
2010-03-31,17.59
2010-06-30,34.54
2010-09-30,23.7
2010-12-31,17.75
2011-03-31,17.74
2011-06-30,16.52
2011-09-30,42.96
2011-12-30,23.4
2012-03-30,15.5
2012-06-29,17.08
2012-09-28,15.73
2012-12-31,18.02
2013-03-28,12.7
2013-06-28,16.86
2013-09-30,16.6
2013-12-31,13.72
2014-03-31,13.88
2014-06-30,11.57
2014-09-30,16.31
2014-12-31,19.2
2015-03-31,15.29
2015-06-30,18.23
2015-09-30,24.5
2015-12-31,18.21
2016-03-31,13.95
2016-06-30,15.63
2016-09-30,13.29
2016-12-30,14.04
2017-03-31,12.37
2017-06-30,11.18
2017-09-29,9.51
2017-12-29,11.04
2018-03-29,19.97
2018-06-29,16.09
2018-09-28,12.12
2018-12-31,25.42
2019-03-29,13.71
2019-06-28,15.08
2019-09-30,16.24
2019-12-31,13.78
2020-03-31,53.54
2020-06-30,30.43
2020-09-30,26.37
2020-12-31,22.75
2021-03-31,19.4
2021-06-30,15.83
2021-09-30,23.14
2021-12-31,17.22
2022-03-31,20.56
2022-06-30,28.71
2022-09-30,31.62
2022-12-30,21.67
2023-03-31,18.7
2023-06-30,13.59
2023-09-29,17.52
2023-12-29,12.45
2024-03-28,13.01
2024-06-28,12.44
2024-09-30,16.73
2024-12-31,17.35
