"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,
"Eritrea, The State of","643","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, US Dollars","BFDL_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","45493.2775877118","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea, The State of","643","Financial Account, Other Investment, Net Acquisition of Financial Assets, US Dollars","BFOA_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-971228.070175439","7787322.11326675","3086852.68808404","10131178.4527922","3514625.05043775","5809933.81031029","4622222.22222222","12279200.7357978","7164583.33333333","1519791.66666667","11712500","5480412.37113402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea, The State of","643","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17872280.7017544","-10628438.2219511","-52705300.1229433","-67266743.0300902","-80380050.2141594","-254075.089076473","-2060493.82716049","-527459.012790581","-2476041.66666667","-4206250","-20644791.6666667","-548453.608247423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guatemala","258","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1800000","0","-400000","0","600000","400000","-2400000","-300000","500000","-42800000","-7900000","-55800000","-5900000","-1800000","2200000","700000","8700000","3000000","5400000","10700000","3100000","2300000","4900000","-800000","5100000","-500000","1700000","7100000","9800000","1600000","1400000","100000","8500000","600000","200000","1100000","24100000","12800000","1600000","9100000","12800000","1006046.66","39948023.51","1131620.30999999","2876806.20999978","21615585.17","11786663.91","8905759.97","-3989205.99","-9274710","-2344400","-2678900.00000004","-3775000","-2900000","-2900000","-2900000","-2900000","17700000","6400000","500000","14800000","10000000","-29300000","-900000","80000000","200000","-17200000","6400000","-6500000","-3088310","-824400","3590280","-3080150","35400460","-10558880","8507000","-4769560","29739970","7244150","8545290","20489600","-11318330","-37512670","-1342150","-11154980","-356650","8874500","-6159230","10303700","4125120","2023360","-10424720","17513150","16090290","3052360","18979090","3030980","-1897380","1140140","832000","-11060320","1089830","1189550","1920740","4081620","2459640","3988570","4987610","-17971590","-3587350","3047580","-18298530","-11485930","23450470","-1473340","1709150","-4387570","-14000640","-11413860","22808120","3327540","13800640","7807310","19578150","17161750","18057480","6927860","29023920","38340000","44187830","-1600120","14136950","82150350","-6018080","-89242440","162220770","28128140",
"Guatemala","258","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD","Official BPM6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","453","Financial Account, Net (with Fund Record), Other Investment Net (with Fund Record), Net incurrence of liabilities (with Fund Record), US Dollars","BFOLFR_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-416887637.362637","-5015183791.20879","5013786263.73626","6228180769.23077","7423351648.35165","-1163461538.46154","-6756016483.51648","-678434065.934066","-3069230769.23077","-6342857142.85714","2314010989.01099","-2834065934.06593","-585439560.43956","-1291208791.20879","777472527.472528","5263461538.46154","1973351648.35165","4118131868.13187","4115109890.10989","9438186813.18681","7912362637.36264","3288186813.18681","4311263736.26374","12926923076.9231","3158791208.79121","-9981868131.86813","-14277197802.1978","-1035989010.98901","9045054945.05494","-1806868131.86813","6994505494.5055","1811538461.53846","626373626.373626","8612912087.91209","2015109890.10989","9707967032.96703","-2073076923.07692","7003296703.2967","9784065934.06593","7481318681.31868","10098626373.6264","1209340659.34066","4038254836.72658","1361263736.26374","-1805494505.4945","-12327197802.1978","-4470329670.32967","1621428571.42857","-5830494505.4945","8456318681.31868","-4334615384.61539","4615384615.38461","8018406593.40659","-7927197802.1978","-3072802197.8022","5087637362.63736",
"Qatar","453","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2520054945.05494","334569230.769231","6324128571.42857","7441589285.71429","946153846.153846","2485989010.98901","369505494.505494","3501373626.37363","3205494505.4945","2277747252.74725","2999175824.17582","4687362637.36264","2854670329.67033","3229670329.67033","3013461538.46154","7209065934.06593","6082417582.41758","-589835164.835165","1595604395.6044","3470879120.87912","4527747252.74725","-450000000","2746703296.7033","1695329670.32967","957967032.967033","-7052747252.74725","-8221428571.42857","1080769230.76923","537087912.087912","2091758241.75824","12390659340.6593","-741758241.758242","3465384615.38461","3614560439.56044","1678571428.57143","1237087912.08791","1715384615.38461","2579395604.3956","1486538461.53846","1315109890.10989","984065934.065934","3480494505.4945","2752197802.1978","3140109890.10989","-417307692.307692","2960989010.98901","3240934065.93407","2214285714.28571","4613186813.18681","-157967032.967033","3185164835.16483","1709615384.61539","-125000000","3636813186.81319","5990659340.65934","2417857142.85714",
"Guatemala","258","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200000","-200000","0","-100000","0","-1500000","0","-800000","-500000","-5400000","-200000","-1900000","-2700000","200000","800000","-2500000","300000","100000","0","0","0","0","0","0","0","0","0","100000","0","0","-300000","0","0","700000","300000","100000","200000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400000","0","0","0","0","0","0","0","100000","100000","100000","100000","0","81020","550000","-1628010","0","-51020","0","71990","22000","224590","22900","77010","67800","354820","4311390","159910","-3037870","-733520","-559900","-10268530","481340","81380","778930","864920","-38850","-36570","-43810","-22630","-356280","-21370","-273100","-225760","29370","61800","61950","61410","61900","79310","62370","366040","0","95010","0","0","0","-48990","0","0","0","0","61860","0","132890","695870","469940","0","0","-59200","282900","0","0","328700","0","0","49080","105250","-187330","0",
"Guatemala","258","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD","Official BPM6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","624","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, US Dollars","BFPLE_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2987657.67909966","0","0","0",,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","287608.271502252","73840.2377277212","0","0","2149029.94006309","0","0","0","0","1862370.82096643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Cabo Verde","624","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, US Dollars","BFPLE_BP6_USD","Official BPM6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","624","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","1905841.79010522","0","0","0","136400.243875729","0","184472.531110276","18041.9133015669","3551973.00438119","0","1070745.38832839","4293005.95890882","0","0","0","0","0","0","-20.1935851933866","-40776.8332296634","-1675044.61380893","58114.7572740304","111481.097049782","0","114699.344121096","7155.48793025455","21318.2623276612","-501.658925016589","-3269091.77100316","-3010305.83519057","20024.0948259265","-336.41491172446","21557.3731929107","-333.641905192887","21216.8640087167","-23371.2304907619","21520.6342635494","-1960587.70999838","-66798.5579202323","-2470.17357933774","3393.88368301065","-25659.6449618133","2311.75013966271","-703.760262898275","2098.35238275461","-496.793442886847","3285.22640561753","-489.184286745993","-369753.639271402","-257362.001869327","3182.77052526926","0","-17.6592676427709","0","3483.07891925165","-0.000273022911675982","3404.08925767615","0","3240.54286813727","0","2923.67657821571","0","3096.48820241168","0","3043.67058051802","0","3151.77936748522","0","-141.505914240248","0",
"Cabo Verde","624","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD","Official BPM6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","258","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,"91800000","122900000","145300000","187000000","216000000","137700000","97600000","222200000","167000000","233600000","150200000","219200000","-129400000","-436700000","-172900000","-279500000","-295516416.76","-299336232.37","-268257327.026667","-528912605.326667","-268344593.59","-330585364.3531","-281606231.10748","-247077529.58","-42608500","-25848600","-29520893.61","-13542500","17400000","15900000","17400000","15900000","17900000","17000000","17900000","17000000","15100000","19300000","23200000","25900000","29100000","29600000","39100000","41700000","2636090","2783650","2440780","2952190","1764170","1333440","5475600","-69129.9999999995","130107840","110975860","125974810","127423150","-52586020","-71145770","-58187480","-80893140","46114610","33494120","51198790","42777160","17915530","18120420","17919930","19328890","-7705150","28421950","-2785980","1881960","9865620","77191340","23204260","45001830","-22716300","-79955500","-11846680","-4718330","9454920","43993780","4988160","5890840","20833340","45682000","20367230","55381020","83880440","102930690","77387190","110273470","49934600","51808950","72563970","47443660","207629180","101801120","169802320","161543140","192837240","121416180","483621690","-67625320","148613350","126999940","271169030","107540050","227383320","175184400","152537150","270023140",
"Guatemala","258","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD","Official BPM6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea, The State of","643","Financial Account, Net (with Fund Record), Other Investment Net (with Fund Record), Net incurrence of liabilities (with Fund Record), US Dollars","BFOLFR_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3800701.75438596","19069395.5540355","13111430.2082945","32521267.85368","42911636.7300284","27307439.8693128","37741975.308642","31324077.6548902","15136458.3333333","9580208.33333333","23730208.3333333","15930927.8350515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan, Islamic Rep. of","512","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4363599.05997471","-107553.478826964","-545112.862134974","371165.577578161","153702.957497254","4043182.53386029","149496.950977016","113422.817322376","2910339.61403924","-385245.631879607","289930.306649905","3517115.40944323","546310.054798826","127484.892892474","290922.23430614","3490980.43824437","933502.005872559","-388904.329885604","202859.277411146","-2030497.91093611","3398540.13026511","0","0","0","0","-2623568.43","-76478.5199999999",,,,,,,,,,,,,,,,
"Afghanistan, Islamic Rep. of","512","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD","Official BPM6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,
"Qatar","453","Financial Account, Other Investment, Net Acquisition of Financial Assets, US Dollars","BFOA_BP6_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12088639010.989","11223735714.2857","11098307967.033","6927571978.02198","19944505494.5055","1885714285.71429","5340384615.38461","9756318681.31868","5431043956.04396","1939835164.83517","3833379120.87912","-199725274.725275","10782417582.4176","2692032967.03297","1682967032.96703","7331318681.31868","11538461.5384615","6824450549.45055","5253021978.02198","6901373626.37363","2745329670.32967","6932142857.14286","4937214130.21514","8202747252.74725","-1050000000","8417857142.85714","3880769230.76923","-182142857.142857","3783241758.24176","2054670329.67033","-2643956043.95604","1535989010.98901","6673901098.9011","-900549450.549451","-2321978021.97802","6300549450.54945","-4776923076.92308","5362087912.08791","300274725.274725","-1160714285.71429","13667032967.033","-1465934065.93407","6439835164.83517","8404670329.67033","4281318681.31868","2043406593.40659","10108516483.5165","6378296703.2967","-7389285714.28571","5902472527.47253","-812087912.087912","7580769230.76923","-400824175.824176","-1527747252.74725","2058791208.79121","9131318681.31868",
