Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-25 14:23 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.CA.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.CA.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1954-03-31,F,,A,4.051
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1954-06-30,F,,A,4.113
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1954-09-30,F,,A,4.045
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1954-12-31,F,,A,4.229
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1955-03-31,F,,A,4.087
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1955-06-30,F,,A,4.291
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1955-09-30,F,,A,4.582
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1955-12-31,F,,A,5.057
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1956-03-31,F,,A,5.218
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1956-06-30,F,,A,5.676
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1956-09-30,F,,A,5.734
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1956-12-31,F,,A,5.953
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1957-03-31,F,,A,5.866
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1957-06-30,F,,A,6.015
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1957-09-30,F,,A,5.944
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1957-12-31,F,,A,5.877
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1958-03-31,F,,A,5.834
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1958-06-30,F,,A,5.885
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1958-09-30,F,,A,5.826
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1958-12-31,F,,A,6.159
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1959-03-31,F,,A,6.344
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1959-06-30,F,,A,6.867
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1959-09-30,F,,A,7.316
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1959-12-31,F,,A,7.245
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1960-03-31,F,,A,7.025
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1960-06-30,F,,A,6.988
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1960-09-30,F,,A,6.985
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1960-12-31,F,,A,7.096
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1961-03-31,F,,A,6.973
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1961-06-30,F,,A,6.791
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1961-09-30,F,,A,6.929
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1961-12-31,F,,A,7.091
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1962-03-31,F,,A,7.083
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1962-06-30,F,,A,7.394
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1962-09-30,F,,A,7.645
