"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Chartered banks: Classification of deposit liabilities"

"DESCRIPTION"
"Quarter-end, Millions of dollars"

"LINK"
"https://www.bankofcanada.ca/?p=196861"

"SERIES"
"id","label","description"
"K129_1221","Demand and notice deposits","Canadian dollar deposits"
"K121_1210","Governments","Canadian dollar deposits - Demand and notice deposits"
"KTOT1PG1","Other Canadian","Canadian dollar deposits - Demand and notice deposits"
"K122_1211","Deposit-taking institutions","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K123_1212","Other","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K124_1213","Non-financial corporations","Canadian dollar deposits - Demand and notice deposits - Other Canadian"
"K125_1214","Unincorporated businesses","Canadian dollar deposits - Demand and notice deposits - Other Canadian"
"K1217","RRSP","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Individuals"
"K126_1215_1218","Other","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Individuals"
"KTOT2PG1","Non-residents","Canadian dollar deposits - Demand and notice deposits"
"K127_1219","Deposit-taking institutions","Canadian dollar deposits - Demand and notice deposits - Non-residents"
"K128_1220","Other","Canadian dollar deposits - Demand and notice deposits - Non-residents"
"K1231","Fixed-term: Pre-encashable deposits","Canadian dollar deposits"
"K1222","Governments","Canadian dollar deposits - Fixed-term: Pre-encashable deposits"
"KTOT1PG2","Other Canadian","Canadian dollar deposits - Fixed-term: Pre-encashable deposits"
"K1223","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Financial institutions"
"K1224","Other","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Financial institutions"
"K1225","Non-financial corporations","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian"
"K1226","Unincorporated businesses","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian"
"K1227","RRSP","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Individuals"
"K1228","Other","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Individuals"
"KTOT2PG2","Non-residents","Canadian dollar deposits - Fixed-term: Pre-encashable deposits"
"K1229","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Non-residents"
"K1230","Other","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Non-residents"
"K1243","Fixed-term: Non pre-encashable deposits","Canadian dollar deposits"
"K1232","Governments","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"KTOT1PG3","Other Canadian","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"K1233","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Financial institutions"
"K1234","Other","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Financial institutions"
"K1235","Non-financial corporations","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian"
"K1236","Unincorporated businesses","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian"
"K1237","RRSP","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Individuals"
"K1238","Other","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Individuals"
"KTOT2PG3","Non-residents","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"K1239","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Non-residents"
"K1240","Other","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Non-residents"
"K1241","Bearer deposit notes and other negotiable notes","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"K1244","Booked at securities subsidiaries","Canadian dollar deposits"
"K1245","Total Canadian dollar deposits","Canadian dollar deposits"
"K1254_1263","Demand and notice deposits","Foreign currency deposits"
"K1246_1255","Governments","Foreign currency deposits - Demand and notice deposits"
"KTOT1PG4","Other Canadian","Foreign currency deposits - Demand and notice deposits"
"K1247_1256","Deposit-taking institutions","Foreign currency deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K1248_1257","Other","Foreign currency deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K1249_1258","Non-financial corporations","Foreign currency deposits - Demand and notice deposits - Other Canadian"
"K1250_1259","Unincorporated businesses","Foreign currency deposits - Demand and notice deposits - Other Canadian"
"K1251_1260","Individuals","Foreign currency deposits - Demand and notice deposits - Other Canadian"
"KTOT2PG4","Non-residents","Foreign currency deposits - Demand and notice deposits"
"K1252_1261","Deposit-taking institutions","Foreign currency deposits - Demand and notice deposits - Non-residents"
"K1253_1262","Other","Foreign currency deposits - Demand and notice deposits - Non-residents"
"K1274","Fixed-term deposits","Foreign currency deposits"
"K1264","Governments","Foreign currency deposits - Fixed-term deposits"
"KTOT1PG5","Other Canadian","Foreign currency deposits - Fixed-term deposits"
"K1265","Deposit-taking institutions","Foreign currency deposits - Fixed-term deposits - Other Canadian - Financial institutions"
"K1266","Other","Foreign currency deposits - Fixed-term deposits - Other Canadian - Financial institutions"
"K1267","Non-financial corporations","Foreign currency deposits - Fixed-term deposits - Other Canadian"
"K1268","Unincorporated businesses","Foreign currency deposits - Fixed-term deposits - Other Canadian"
"K1269","Individuals","Foreign currency deposits - Fixed-term deposits - Other Canadian"
"KTOT2PG5","Non-residents","Foreign currency deposits - Fixed-term deposits"
"K1270","Deposit-taking institutions","Foreign currency deposits - Fixed-term deposits - Non-residents"
"K1271","Other","Foreign currency deposits - Fixed-term deposits - Non-residents"
"K1272","Bearer deposit notes and other negotiable notes","Foreign currency deposits - Fixed-term deposits"
"K1275","Booked at securities subsidiaries","Foreign currency deposits"
"K1276","Total foreign currency deposits","Foreign currency deposits"

"OBSERVATIONS"
"date","K129_1221","K121_1210","KTOT1PG1","K122_1211","K123_1212","K124_1213","K125_1214","K1217","K126_1215_1218","KTOT2PG1","K127_1219","K128_1220","K1231","K1222","KTOT1PG2","K1223","K1224","K1225","K1226","K1227","K1228","KTOT2PG2","K1229","K1230","K1243","K1232","KTOT1PG3","K1233","K1234","K1235","K1236","K1237","K1238","KTOT2PG3","K1239","K1240","K1241","K1244","K1245","K1254_1263","K1246_1255","KTOT1PG4","K1247_1256","K1248_1257","K1249_1258","K1250_1259","K1251_1260","KTOT2PG4","K1252_1261","K1253_1262","K1274","K1264","KTOT1PG5","K1265","K1266","K1267","K1268","K1269","KTOT2PG5","K1270","K1271","K1272","K1275","K1276"
"1982Q1","76514","6466","67278","188","2104","7756","4069","4557","48605","1924","821","1103","62737","1711","57911","199","5196","12985","4590","897","34045","3115","1193","1922","29028","349","16383","697","3552","3076","475","636","7946","1199","666","533","11097","0","168280","9252","107","1809","73","377","958","153","241","7336","3054","4282","143978","939","10726","2835","3238","2537","280","1837","122333","77292","45040","9980","0","153231"
"1982Q2","82026","6189","72873","275","2719","8605","4602","4676","51996","2108","883","1226","60307","1351","56179","153","4390","13352","4382","975","32926","2777","1068","1709","28625","406","17799","682","4259","2446","925","780","8707","1501","684","818","8919","0","170958","9677","35","2182","137","400","1056","209","378","7461","2980","4480","151774","1514","13478","3446","3485","3636","384","2527","127070","76828","50241","9712","0","161451"
"1982Q3","77670","2850","71918","229","2445","8897","3888","4734","51725","2094","873","1221","61336","1792","56212","128","4761","14457","3616","998","32252","3332","1086","2246","31652","529","19177","786","3624","2276","1755","872","9863","1171","545","626","10776","0","170658","9199","76","1920","141","433","839","130","347","7203","3063","4140","140040","2020","13770","4067","2467","4405","606","2225","114689","77868","36821","9560","0","149239"
"1982Q4","86620","8019","75105","172","3029","9876","4562","4936","52530","2606","1107","1499","56229","868","52770","187","3260","13606","3508","1058","31151","2592","1005","1587","31749","502","19409","917","3553","1905","1684","947","10403","1381","672","709","10457","0","174599","9344","57","1903","168","395","893","105","341","7384","2970","4414","139391","1998","14172","3913","2661","5121","397","2080","113659","76996","36663","9561","0","148734"
"1983Q1","84160","5105","75796","103","3044","9242","4671","5276","53461","2344","982","1362","54525","935","50781","412","2848","12591","3233","1383","30315","2808","1049","1759","32779","624","20180","1126","3491","2130","1108","1536","10788","1317","780","538","10657","0","171464","10452","433","1804","102","328","696","117","503","8215","3469","4746","140699","1679","14842","4699","2666","4948","496","2034","113301","74829","38472","10877","0","151151"
"1983Q2","89937","6153","80545","139","3116","10151","5310","5288","56542","2373","930","1443","48518","819","44984","214","2394","11508","2591","1462","26815","2714","1235","1480","33862","632","23019","1302","3936","2387","1785","1603","12007","1055","643","412","9156","0","172316","9881","58","1954","100","372","873","122","475","7868","3135","4733","139802","1725","13851","4601","2921","4135","444","1750","110375","71251","39124","13851","0","149682"
"1983Q3","87482","3975","80602","135","2522","9950","4968","5249","57778","2082","811","1271","47649","894","43720","206","2088","10816","3171","1481","25958","3034","1587","1448","34073","624","23562","1335","4053","2703","1593","1666","12212","1428","1018","410","8459","0","169204","10690","45","1733","24","294","906","81","416","8912","3910","5003","140456","1271","13419","4633","2501","4196","325","1764","112523","70959","41564","13243","0","151146"
"1983Q4","91665","7329","81185","154","2365","11307","5016","5333","57010","2243","898","1345","43893","668","40490","152","2261","10504","2909","1599","23066","2734","1331","1404","35979","729","26293","1731","4460","3241","1598","1837","13426","1476","1090","386","7482","0","171538","10764","30","1883","20","246","1079","102","426","8850","3869","4981","140864","1127","13146","4143","2165","4457","522","1859","112806","71681","41125","13786","0","151628"
"1984Q1","88232","6333","78838","237","2361","9814","4560","5161","56705","2108","788","1319","45035","733","41362","255","1961","10254","2581","2090","24221","2940","1543","1396","36661","692","27742","1546","3925","3912","1653","2725","13981","1523","1083","440","6704","0","169928","10896","120","1749","15","264","919","97","446","9027","3636","5391","149421","1527","16059","4880","3253","5292","630","2006","117657","73571","44086","14178","0","160317"
"1984Q2","88631","3245","82170","209","2629","10579","4953","5077","58723","2296","900","1396","44670","650","41370","374","1771","10148","2596","2198","24281","2650","1280","1370","38923","642","28789","1664","3577","4422","1192","2918","15016","1488","1028","460","8004","0","172224","11140","38","1884","24","215","936","169","538","9218","4178","5040","156539","1490","15960","4581","2871","5873","475","2160","122609","77148","45462","16479","0","167679"
"1984Q3","87352","3106","81213","248","2313","10605","4853","4913","58280","2144","832","1312","43229","806","40673","388","1785","10134","2625","2240","23501","1751","517","1234","43089","849","31687","1546","3911","4057","1740","3055","17378","2119","1504","616","8434","0","173671","14112","47","2069","26","290","1098","89","563","11995","4316","7679","161302","1546","15681","4942","2951","5289","347","2152","128955","76712","52243","15120","0","175414"
"1984Q4","92577","4230","85000","302","2973","12715","5410","4959","58641","2358","934","1425","41958","645","39560","282","2025","10294","2462","2403","22094","1752","490","1262","43098","671","33367","1429","3725","4352","2094","3314","18453","2103","1434","669","6957","0","177632","15742","69","2626","39","354","1509","103","616","13047","4556","8491","160992","1430","15629","5093","3287","4620","506","2124","125606","77007","48599","18327","0","176734"
"1985Q1","91867","5626","83015","221","2208","10752","5235","5098","59501","2173","855","1318","42141","749","39799","337","1739","9936","2551","2786","22450","1593","475","1118","43703","783","34180","1658","3786","3831","1904","4238","18762","2140","1340","800","6601","0","177711","14674","55","2427","49","394","1220","101","664","12192","3332","8860","174607","1863","18185","6449","3482","5531","546","2176","135815","85877","49938","18745","0","189282"
"1985Q2","96242","3502","89517","224","2325","12516","5757","4966","63729","2377","963","1414","41605","938","38954","294","1601","9981","2387","2922","21768","1713","508","1206","43316","655","34539","1422","3544","4072","1967","5254","18280","2097","1277","819","6026","0","181164","16865","73","2712","120","243","1433","196","720","14080","4879","9201","166640","1361","16549","4638","3165","6079","312","2354","129406","80720","48686","19323","0","183505"
"1985Q3","100714","5257","92409","233","2892","13406","5639","4879","65360","2486","1085","1401","40868","559","38471","110","1407","10029","2324","2951","21650","1838","590","1248","42871","725","35199","1781","3347","4348","2010","5356","18357","2133","1242","891","4815","0","184453","18321","86","2790","87","347","1367","226","762","15444","5578","9866","167806","1248","16634","5102","3261","5545","484","2241","129382","78963","50419","20542","0","186126"
"1985Q4","103979","5771","95264","373","2752","14602","6071","4885","66581","2696","1141","1555","38672","602","36288","269","1832","8721","2381","3146","19939","1782","556","1227","45073","683","37927","2880","3228","4081","2245","5710","19784","2236","1237","999","4227","0","187724","19246","144","2947","139","410","1464","140","794","16155","6129","10026","171440","1008","16872","6320","2848","5134","344","2227","133436","78352","55084","20124","0","190686"
"1986Q1","98973","3609","92442","305","2319","13302","5571","4766","66178","2842","1215","1626","39763","1151","36575","228","1648","9207","2134","3640","19718","2038","758","1280","50617","599","38547","1683","2923","3592","2310","7270","20769","2711","1663","1048","8761","0","189353","19066","273","2961","87","379","1412","167","916","15833","5172","10661","177366","1735","18898","6021","3578","6738","377","2184","133865","76469","57396","22869","0","196433"
