"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,"Base Year",
"Cyprus","423","Other Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros","FOSAOPEA_EUR","Value",,,,,,,,,,,,,,,,,"23761000000","24219000000","25621000000","26178000000","26985000000","27713000000","30117000000","31167000000","33040000000","34849000000","37053000000","39869000000","42044000000","42080000000","43915000000","44390000000","45490000000","45980000000","46468000000","45544000000","47464000000","47509000000","48938000000","49408000000","50331000000","50183000000","51596000000","51246000000","51546000000","50422000000","48833000000","47450000000","47964000000","47420000000","47567000000","46613000000","45378000000","46469000000","46098000000","46035000000","46170000000","45033000000","42651000000","41991000000","41861000000","41404000000","40935000000","39986000000","39468000000","37246000000","37281000000","30633000000","30391000000","30469000000","26815000000","26534000000","26080000000","25957000000","24930000000","24880000000","25211000000","25210000000","23554000000","23481000000","23830000000","23720000000","23945000000","23517000000","22098000000","21338000000","21307000000","20989000000","20886000000","21023000000","21170000000","21024000000","21337000000","",
"Portugal","182","Other Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros","FOSAOPEA_EUR","Value","158488000000","162142000000","165492000000","167974000000","172396000000","174957000000","179118000000","178781000000","179033000000","182249000000","186200000000","187467000000","188020000000","189745000000","194580000000","196848000000","200899000000","210210000000","217964000000","222394000000","227095000000","232515000000","242261000000","248781000000","255898000000","261757000000","269702000000","272326000000","278345000000","279616000000","283749000000","285627000000","287683000000","288034000000","289187000000","289931000000","285472000000","286290000000","287608000000","285018000000","279915000000","275795000000","271818000000","265881000000","260598000000","257081000000","255010000000","249524000000","246350000000","244048000000","240956000000","238396000000","227308289889.069","226001350000","224462840000","222383820000","218095840000","216420560000","215460630000","213731420000","209858560000","208352670000","207025580000","205092617382.559","203373110000","203779638960.529","204285830000","204029210000","202276950501.284","202155787240.261","206396648771.227","205764440000","203909520000","205801950000","209386740000","210916720000","213161920000","214992450000","216719970000","218133810000","218038750000","220917750000","223549525834.773","224335000000","222768000000","221888000000","222407000000","222129000000","221514000000","222410000000","225154000000","226783689508.642","229018000000","",
"Estonia, Rep. of","939","Other Depository Corporations Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros","FOSAOFEA_EUR","Value",,,,,,,,,,"1767330216.18036","1898601704.36444","1933958358.65977","1987295458.92478","1853570000","1874560000","1849860000","1421990000","1471360000","1398360000","780370000","802670000","836960000","967970000","1033040000","1042250000","955000000","991000000","927000000","835000000","731000000","724000000","647000000","596000000","546000000","580000000","493000000","482000000","502000000","491000000","487000000","583000000","594000000","699000000","623000000","524000000","646000000","737000000","789000000","1082000000","925000000","1016000000","1093000000","1217000000","1386000000","1411000000","1673000000","1766000000","2293000000","2301000000","2320000000","2260000000","2254000000","2381000000","2449000000","2551000000","2555000000","2593000000","2614000000","2697000000","2956000000","2979000000","3017000000","2916000000","2888000000","2875000000","2932000000","2933000000","2971000000","3075000000","3350000000","3405000000","3499000000","3896000000","4023000000","4122000000","4056000000","4088000000","4954000000","5068000000","5177000000","4868000000","4946000000","5775000000","",
"Slovenia, Rep. of","961","Other Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros","FOSAOPEA_EUR","Value",,,,,,,,,,"11137000000","11570000000","12009000000","12538180585.4801","13359600000","14017370000","14763320000","15450060000","16367999068.5937","17339500000","18247620000","19153590000","20551420000","22061030000","23679720000","25137679128.5585","26327439114.3804","27741620000","28836481229.553","29217640000","29579940000","29721500000","30248010000","30425410000","30850640000","31203530000","31259620000","31201200000","31307350000","31418860000","31124110000","30607570000","30589020000","30295470000","29992970000","28957460000","28526800000","28133272548.4145","27775020000","24019780000","23590600000","23050240000","22586310000","20688290332.2404","20689740000","20431860000","19945190000","19512450000","18910740000","18862800000","18577440000","18966800000","19143790000","19391330000","19591610000","19686410000","19846500000","19907370000","20204900000","20173100000","20510063207.5472","20715120000","21021510000","20894390000","21438991563.0252","20943190000","20954560000","20857910000","21207220000","21233410000","21493230000","22062935712.693","22833540000","23446000000","24115341836.7347","24168000000","24274646748.6819","24499000000","24504000000","24228000000","24379000000","24778000000","25012000000","24921000000","",
"Italy","136","Other Depository Corporations Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros","FOSAOFEA_EUR","Value","209437449423.368","212454779287.85","222120801071.72","207779859084.379","223601417194.113","233416000000","238676000000","233432000000","241466000000","233075000000","232233000000","228329000000","239745000000","244923000000","250195000000","249258000000","264271000000","265825000000","278209000000","278084000000","287157000000","292030000000","313763000000","300310000000","309806000000","316763000000","337895000000","348673000000","504686000000","521844000000","509008000000","512192000000","515336000000","524558000000","636561000000","662369000000.001","627586000000","572449000000","560804000000","626475000000","647938000000","649001000000","671960000000","707842000000","714033000000","685740000000","648263000000","641347000000","625492000000","590132000000","595561000000","601103000000","628635000000","655299000000","590288000000","583899000000","565175000000","592753000000","577539000000","569561000000","561273000000","535452000000","508590000000","505083000000","528426000000","510137000000","516385000000","513993000000","525274000000","541681000000","545387000000","568286000000","563736000000","568364000000","558523000000","521485000000","515492000000","487941000000","473416000000","472730000000","475398000000","497967000000","521986000000","551039000000","564470000000","545003000000","538839000000","535636000000","499878000000","502782000000","500644000000","649408000000","631463000000","",
"Finland","172","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Slovak Rep.","936","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value",,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Estonia, Rep. of","939","Other Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros","FOSAOPEA_EUR","Value",,,,,,,,,,"3028049783.81964","3271978295.63556","3580821641.34023","3976074541.07522","4342520000","4887230000","5617280000","6470380000","7178440000","8287160000","9290950000","10440330000","11326370000","12260580000","13116100000","13859750000","14332000000","14799000000","15118000000","15057000000","14917000000","14809000000","14648000000","14440000000","14301000000","14113000000","13975000000","13786000000","13489000000","13456000000","13287000000","13103000000","12987000000","12981000000","13131000000","13152000000","13197000000","13043000000","13173000000","13204000000","13265000000","13440000000","13621000000","13624000000","13678000000","13855000000","14229000000","14328000000","14535000000","14752000000","15039000000","15287000000","15463000000","15602000000","15124000000","15396000000","15636000000","15784000000","15942000000","16193000000","16385000000","16676000000","16819000000","16761000000","17055000000","17024000000","17230000000","17567000000","17768000000","17988000000","18182000000","18897000000","19225000000","19915000000","20626000000","21087000000","21104000000","21476000000","22074000000","22413000000","22506000000","22988000000","23528000000","24544000000","",
"Estonia, Rep. of","939","Other Depository Corporations Survey, Claims on State and Local Government (Euro Area-Wide-Residency), Euros","FOSAOGEA_EUR","Value",,,,,,,,,,"153350678.956312","138726285.586302","140317483.897755","155325631.34394","154810000","139080000","146700000","155880000","153570000","143170000","140120000","150500000","150490000","147730000","147900000","172090000","180000000","161000000","166000000","226000000","258000000","264000000","275000000","269000000","288000000","277000000","278000000","307000000","304000000","305000000","303000000","319000000","321000000","316000000","317000000","327000000","332000000","328000000","361000000","372000000","380000000","403000000","385000000","443000000","372000000","364000000","376000000","407000000","434000000","422000000","421000000","452000000","445000000","441000000","459000000","498000000","451000000","445000000","427000000","476000000","468000000","458000000","458000000","364000000","364000000","373000000","392000000","577000000","565000000","560000000","569000000","628000000","628000000","614000000","613000000","687000000","675000000","664000000","699000000","796000000","795000000","779000000","815000000","857000000","",
"Ireland","178","Other Depository Corporations Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros","FOSAOFEA_EUR","Value","51204407356.3218","51112327356.3218","49486322298.8506","52171161839.0805","50776275862.069","50860000000","52073000000","52082000000.0001","52538000000","54417000000.0001","52332000000","50769000000","55872000000","57208999999.9999","64457000000","66765999999.9999","78471000000","80719000000","87640000000","92825000000","96724000000.0001","151214000000","166710000000","175262000000","205315000000","253228000000","261721000000","238558000000","189826000000","176009000000","176746000000","172941000000","167712000000","164517000000","172392000000","174399000000","177129000000","176395000000","176678000000","176316000000","190275000000","183500000000","178996000000","178439000000","165372000000","159885000000","151250000000","150016000000","140165000000","129376000000","140497000000","136971000000","134898000000","136160000000","119858000000","116000000000","114904000000","113273000000","113813000000","113313000000","105548000000","96859000000","92580000000","89640000000","87927000000","85250000000","81931000000","81250000000","82706000000","83092000000","91338000000","114244000000","111518000000","136587000000","130542000000","127798000000","151927000000","148579000000","141329000000","151895000000","138025000000","164850000000","169936000000","203327000000","185301000000","166125000000","175441000000","184936000000","173543000000","172705000000","171377000000","179322000000","183079000000","",
