"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,"Base Year",
"Estonia, Rep. of","939","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value",,,,,,,,,,"1850370000","2055290000","2124540000","2257770000","2320310000","2780010000","2830980000","3196250000","3331860000","3692150000","3845050000","4050700000","4284200000","4481310000","4375640000","4321700000","4318000000","4429000000","4213000000","3817000000","3738000000","3861000000","3751000000","3764000000","3957000000","4222000000","4285000000","4820000000","4696000000","4873000000","4934000000","5203000000","5082000000","5475000000","5739000000","6247000000","6316000000","6659000000","6686000000","7173000000","7357000000","7698000000","7869000000","8382000000","8584000000","9391000000","9530000000","10058000000","10324000000","10862000000","10787000000","11190000000","11229000000","11532000000","11539000000","12315000000","12333000000","13103000000","12783000000","13500000000","13805000000","13722000000","13970000000","14531000000","14919000000","15897000000","16497000000","18357000000","19524000000","19830000000","21059000000","22662000000","22084000000","22217000000","22214000000","21498000000","20513000000","19317000000","17999000000","17310000000","16930000000","17294000000","17011000000","18240000000","",
"Belgium","124","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value","61397000000","61329000000","65386000000","62408000000","62065000000","65560000000","67819000000","67011000000","67350000000","72783000000","75083000000","76548000000","78155000000","80267000000","83832000000","85098000000","90395000000","92525000000","94823000000","92064000000","92387000000","97083000000","102602000000","99467000000","99521000000","101712000000","102665000000","101678000000","100070000000","110799000000","113133000000","110959000000","112980000000","117174000000","121412000000","120007000000","113924000000","113315000000","112902000000","109063000000","109970000000","115415000000","119591000000","122640000000","122916000000","124194000000","130010000000","131120000000","130248000000","134714000000","141083000000","144477000000","147233000000","154011000000","162611000000","161638000000","162120000000","170083000000","179428000000","179774000000","181798000000","183728000000","190147000000","188874000000","192536000000","197055000000","203771000000","202408000000","206754000000","216942000000","219476000000","219291000000","218309000000","230122000000","243203000000","241678000000","250390000000","253440000000","260742000000","274911000000","282533000000","289477000000","297858000000","297312000000","283151000000","262096000000","251392000000","235052000000","230533000000","225266000000","231059000000","229851000000","238655000000","",
"Spain","184","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value","159671000000","159245000000","166930000000","165649000000","175186000000","173580000000","180553000000","183221000000","191062000000","191638000000","206258000000","207992000000","214716000000","220250000000","405377000000","407912000000","433701000000","431127000000","453554000000","468705000000","493647000000","477218000000","487829000000","485345000000","485294000000","460223000000","466636000000","465618000000","464300000000","461893000000","491946000000","492814000000","509258000000","500346000000","515295000000","500884000000","509360000000","507197000000","511496000000","492746000000","502408000000","497424000000","515278000000","491687000000","495296000000","503596000000","518877000000","509160000000","523236000000","528481000000","561978000000","568938000000","590126000000","608584000000","652891000000","663572000000","684169000000","695911000000","735912000000","760339000000","797180000000","825065000000","865764000000","886139000000","906423000000","921372000000","973733000000","975505000000","990866000000","1023870000000","1060515000000","1057795000000","1079228000000","1101645000000","1180820000000","1194737000000","1236046000000","1237257000000","1296987000000","1308903000000","1349483000000","1357887000000","1394488000000","1378353000000","1372945000000","1319450000000","1304773000000","1279830000000","1274218000000","1247183000000","1279267000000","1279286000000","1315246000000","",
"Netherlands, The","138","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","232287010000","244718010000","241950020000","243486000000","244527000000","269517000000","269600000000","272442000000","280937000000","284056000000","285935000000","291137000000","292104000000","293793000000","300324000000","318296000000","336782000000","337472000000","343663000000","355355000000","378653000000","386772000000","392044000000","402826000000","393731000000","402814000000","416516000000","411794000000","430455000000","417334000000","424570000000","414544000000","410709000000","401384000000","416997000000","408468000000","400458000000","401944000000","408915000000","417455000000","417412000000","423154000000","420132000000","425663000000","428254000000","445163000000","439764000000","436583000000","417314000000","422147000000","427175000000","424691000000","401399000000","418068000000","410971000000","413100000000","402710000000","411588000000","410162000000","422642000000","448870000000","468374000000","458272000000","458425000000","448666000000","456543000000","459520000000","458177000000","448024000000","456206000000","462936000000","466064000000","455534000000","465387000000","478929000000","484808000000","469822000000","476451000000","481010000000","482516000000","477457000000","483759000000","500566000000","516607000000","525653000000","554404000000","576692000000","588994000000","591713000000","597319000000","605852000000","610958000000","605112000000","",
"Portugal","182","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","75173000000","79031000000","79403000000","78533000000","74032000000","73888000000","75956000000","77064000000","75653000000","76515000000","77722000000","77741000000","80752000000","81216000000","77328000000","81537000000","82831000000","84086000000","80700000000","81014000000","85362000000","86114000000","88964000000","93296000000","97464000000","100914000000","102247000000","109739000000","112302000000","113977000000","109263000000","105974000000","102866000000","100689000000","95262000000","99691000000","105105000000","104343000000","104777000000","108313000000","106110000000","102550000000","98794000000","95755000000","94297000000","93422000000","92779000000","92285000000","93859000000","91169000000","87354000000","87489000000","90349150000","89189650000","86446070000","87095920000","84889800000","85267080000","86514530000","86781860000","87612610000","88391040000","87530840000","87934410000","88591160000","85840030000","87001260000","86159220000","88373870000","90226510000","89818820000","88880820000","89143920000","88165830000","89195070000","90063660000","91756290000","93162050000","93853040000","94105060000","95240440000","95643170000","91601520000","93416680000","97662340000","101409470000","106568230000","112792460000","127132700000","135999680000","137700230000","141611160000","147023720000","",
"Cyprus","423","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value",,,,,,,,,,,,,,,,,"4722000000","4939000000","5115000000","5631000000","5836000000","6229000000","6345000000","6504000000","6983000000","6818000000","7069000000","8022000000","7964000000","7927000000","7988000000","7886000000","9287000000","8535000000","11124000000","9418000000","9949000000","9754000000","10873000000","10412000000","10557000000","10725000000","10784000000","10713000000","10884000000","10792000000","8054000000","9030000000","9281000000","9580000000","9911000000","9763000000","9975000000","10258000000","10327000000","11054000000","11479000000","11637000000","12687000000","12953000000","14043000000","13858000000","13915000000","14788000000","15448000000","15613000000","16314000000","17156000000","17813000000","18047000000","19354000000","19855000000","21096000000","21597000000","22464000000","23274000000","24380000000","25031000000","26227000000","27180000000","28658000000","29080000000","30364000000","31052000000","31563000000","31157000000","31117000000","30449000000","29998000000","29148000000","29694000000","29922000000","30649000000","",
"Italy","136","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","212131000000","234383000000","237905000000","240326000000","243445000000","286483000000","280913000000","282425000000","282730000000","277045000000","276643000000","277796000000","281851000000","274435000000","276629000000","274634000000","275158000000","266044000000","271700000000","281116000000","282215000000","288842000000","283492000000","285111000000","449324000000","462473000000","462927000000","479814000000","459314000000","444410000000","433104000000","434875000000","428515000000","418915000000","410906000000","415899000000","415339000000","412927000000","408634000000","410771000000","420487000000","444655000000","441514000000","457546000000","471063000000","481802000000","476136000000","473421000000","472648000000","472815000000","462764000000","458369000000","445438000000","441422000000","433551000000","432652000000","426231000000","418233000000","406146000000","399219000000","391278000000","385634000000","379082000000","379358000000","373574000000","375455000000","367649000000","359907000000","358102000000","363436000000","361648000000","359911000000","358929000000","364522000000","372022000000","371628000000","367643000000","370654000000","363951000000","360334000000","356877000000","359267000000","356527000000","361320000000","376748000000","398756000000","413560000000","427171000000","442149000000","463182000000","463371000000","462188000000","466009000000","",
"France","132","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","625149000000","651191000000","652645000000","671632000000","664489000000","700893000000","708855000000","708302000000","710078000000","740630000000","749056000000","758008000000","771802000000","787644000000","812348000000","822718000000","812177000000","833000000000","847052000000","888254000000","893026000000","959866000000","980261000000","1001168000000","1013593000000","1086066000000","1103063000000","1118602000000","1164945000000","1184406000000","1169067000000","1161108000000","1129871000000","1127359000000","1119236000000","1143681000000","1134890000000","1136151000000","1109139000000","1136699000000","1106113000000","1146936000000","1152883000000","1138264000000","1157112000000","1179941000000","1145100000000","1128614000000","1126327000000","1134440000000","1122701000000","1128143000000","1123462000000","1119700000000","1096988000000","1111135000000","1105617000000","1140940000000","1126391000000","1136483000000","1132579000000","1184198000000","1154130000000","1174211000000","1170421000000","1198322000000","1198299000000","1192529000000","1192168000000","1220312000000","1216307000000","1252622000000","1218208000000","1288744000000","1290058000000","1375895000000","1385729000000","1410752000000","1375751000000","1403395000000","1426198000000","1442505000000","1438857000000","1532442000000","1613987000000","1703297000000","1726872000000","1785756000000","1882749000000","1941453000000","1951053000000","1994704000000","2011947000000","",
"Austria","122","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","89058370000","88846990000","86553000000","88968000000","88126000000","89136000000","87610000000","86423000000","88354000000","88720000000","86948000000","87192000000","89999000000","91475000000","96262000000","97545000000","101176000000","103213000000","105041000000","108288000000","111503000000","116439000000","121748000000","130471000000","140574000000","149158000000","150071000000","154361000000","160116000000","155681000000","147956000000","141325000000","136774000000","134147000000","131367000000","131696000000","128920000000","131096000000","131210000000","134238000000","135976000000","138346000000","136819000000","131240000000","125650000000","123809000000","122439000000","120970000000","120263000000","125374000000","123009000000","122971000000","122049000000","122199000000","115057000000","115481000000","113377000000","114798000000","114232000000","114311000000","106961000000","104660000000","102263000000","100171000000","98484000000","94690000000","92845000000","93108000000","95933000000","96102000000","95954000000","96826000000","96512000000","96621000000","96210000000","94683000000","94394000000","94640000000","91026000000","89882000000","87873000000","88158000000","88782000000","91487000000","101692000000","106195000000","113742000000","122115000000","131613000000","139297000000","137480000000","139952000000","137023000000","",
"Estonia, Rep. of","939","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value",,,,,,,,,,"907620000","901560000","929050000","1014890000","1160080000","1234440000","1301990000","1611450000","1675500000","1733250000","1813840000","2117480000","2194530000","2292090000","2370510000","2830690000","3157000000","3224000000","3479000000","3878000000","3979000000","3918000000","3967000000","4219000000","4080000000","4018000000","3765000000","3644000000","3669000000","3591000000","3803000000","3849000000","3757000000","3778000000","3625000000","3449000000","3304000000","3175000000","3227000000","3175000000","3197000000","3104000000","3073000000","2993000000","2986000000","2737000000","2674000000","2627000000","2524000000","2481000000","2504000000","2704000000","2654000000","2617000000","2623000000","2383000000","2292000000","2539000000","2562000000","2737000000","2714000000","3074000000","3413000000","3249000000","3387000000","3253000000","2935000000","2867000000","2954000000","2753000000","2887000000","2858000000","2977000000","3196000000","3410000000","4319000000","5593000000","7060000000","8402000000","9953000000","10457000000","10527000000","11028000000","11053000000","",
