Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-23 17:56 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.RU.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.RU.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1995-06-30,F,,A,35.778
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1995-09-30,F,,A,40.228
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1995-12-31,F,,A,41.045
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1996-03-31,F,,A,42.401
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1996-06-30,F,,A,42.491
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1996-09-30,F,,A,38.222
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1996-12-31,F,,A,43.064
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1997-03-31,F,,A,44.705
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1997-06-30,F,,A,47.649
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1997-09-30,F,,A,50.868
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,1997-12-31,F,,A,49.145
