Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-23 17:01 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.US.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.US.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1945-12-31,F,,A,30.81
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1946-03-31,F,,A,33.453
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1946-06-30,F,,A,36.126
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1946-09-30,F,,A,38.828
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1946-12-31,F,,A,41.53
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1947-03-31,F,,A,44.013
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1947-06-30,F,,A,46.524
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1947-09-30,F,,A,49.062
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1947-12-31,F,,A,51.6
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1948-03-31,F,,A,53.067
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1948-06-30,F,,A,54.534
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1948-09-30,F,,A,56.017
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1948-12-31,F,,A,57.5
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1949-03-31,F,,A,58.129
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1949-06-30,F,,A,58.765
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1949-09-30,F,,A,59.407
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1949-12-31,F,,A,60.05
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1950-03-31,F,,A,63.186
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1950-06-30,F,,A,66.358
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1950-09-30,F,,A,69.564
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1950-12-31,F,,A,72.77
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1951-03-31,F,,A,75.265
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1951-06-30,F,,A,77.788
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1951-09-30,F,,A,80.339
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1951-12-31,F,,A,82.89
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1952-03-31,F,,A,83.65
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1952-06-30,F,,A,86.13
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1952-09-30,F,,A,88.69
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1952-12-31,F,,A,91.84
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1953-03-31,F,,A,93.86
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1953-06-30,F,,A,96.36
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1953-09-30,F,,A,98.62
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1953-12-31,F,,A,99.15
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1954-03-31,F,,A,100.07
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1954-06-30,F,,A,102.03
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1954-09-30,F,,A,104.48
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1954-12-31,F,,A,107.48
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1955-03-31,F,,A,110.51
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1955-06-30,F,,A,116.54
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1955-09-30,F,,A,121.43
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1955-12-31,F,,A,126.45
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1956-03-31,F,,A,129.45
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1956-06-30,F,,A,134.86
"BIS,WS_TC,2.0",Q.US.P.B.M.USD.A,Q,US,P,B,M,USD,A,US dollar,Billions,1956-09-30,F,,A,138.14
