Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Australia,AUS,296612834071.745,308275135699.637,319054474737.501,338875878220.141,359150262656.584,378798712906.686,403354058864.168,426032065769.344,453620247395.633,479437912024.365,505056094140.601,532864799310.005,565994508002.305,594024458977.883,633138917180.184,666573991108.909,712648996565.745,763412360149.174,797546165740.298,874442486513.615,867452812307.34,938789002628.632,974432428747.204,1062294635632.22,1101098183876.09,1101816795436.34,1143265965868.5,1189571541596.14,1252748396187.98,1334462906706.38,1384652202439.55,1494437295625.78,1713614547048.26,1879379921223.82,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Austria,AUT,148819509148.477,159147311749.901,166181925077.453,171017172382.081,178864816865.662,187487608255.905,194340605239.241,201549397000.674,211617683713.168,219789588984.161,234055806855.059,237701257456.157,250154113650.079,259584438571.858,273948983717.384,286136493567.015,309214389032.941,325131802424.247,341570699090.85,339285440340.572,349089444117.312,370671977954.567,389098738029.221,402959936317.639,413263298435.022,428354580959.906,457782737463.171,473923403470.152,500696126093.049,535946931732.608,521841933098.151,563937063927.255,639574811164.389,643595441773.677,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Belgium,BEL,186143914588.878,195966424619.526,203500309947.015,206320181481.636,217526046011.997,227383463991.073,230928998259.576,241579537994.353,248634626792.289,260168701709.78,284862666666.667,296218031614.831,312900377877.018,320981343828.761,334143156430.084,347658412088.972,371910293569.293,391020785776.548,405729462246.522,409034917983.614,434128146075.674,455271537460.137,471861624035.897,489497572460.263,506062503280.372,519562781951.127,548605717461.086,571670659099.524,599540192091.147,651568428663.066,647547562363.422,702892004067.138,795862119611.576,814190704920.337,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Canada,CAN,560184961451.598,567048053070.888,585191423921.596,615002687930.82,656367194071.933,688183583810.054,712130924872.247,755390170461.408,793674327704.288,846412945809.995,900996986801.064,937786776176.929,971003788233.131,1023682523002.92,1083609294356.44,1171326187910.13,1241594039979.59,1301593351698.17,1342395839240.43,1307000908301.48,1363577286343.32,1430806739876.64,1468097961846.59,1554125000000,1621395561291.92,1594900336857.89,1678092366067.55,1765762548007.77,1852985933143.48,1899695367283.6,1847837502049.2,2163420977540.03,2442788782560.31,2547198393545.99,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Chile,CHL,59203042078.1421,66075690480.2552,76266169098.8247,84364774168.2908,91998297195.4012,104524492338.023,116331728719.055,127084973049.645,133888459732.619,135403718285.286,145355726570.836,153318300830.111,160694762437.438,171606243155.843,187973652898.553,205184272360.574,256070327751.867,278373990855.263,275754675659.093,271327840688.241,307855669991.931,349147748327.253,374316599644.856,392670388751.635,402902197383.282,405311397639.034,424831691034.163,450891850924.637,478093905184.167,491687970151.703,491062045094.545,566321924503.659,604411920381.965,644866252594.615,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Colombia,COL,165749937380.91,174785148003.957,185999296394.144,200662339787.782,216863846989.758,232929565322.641,242070320401.609,254691613364.287,259021506595.33,251643517109.074,264870681670.303,275379079755.352,286661049058.578,303774557819.28,328579327985.081,355245575259.623,390797993616.953,428431872795.523,451024877841.145,458978514358.005,485436645881.429,529875186711.481,552844741595.573,589812009091.885,621898180361.74,626205847138.119,665398390495.011,693117074956.624,747103674534.628,807590595866.731,785737564322.414,889808627041.398,1069817678339.23,1087468965054.37,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Czechia,CZE,132329237175.516,120914566891.057,123043662093.032,126038183406.704,132474775022.484,144045164988.908,152411031059.686,153610280115.448,155061690900.552,159337917754.5,167452851419.141,180949719059.407,187052563018.901,199869532999.53,214046662076.254,225819370350.942,244907365718.829,270535436010.461,290123393361.636,289284605320.029,294927810202.591,306876088631.92,309706664288.31,326079204734.886,344636591853.555,359643570544.502,385090482980.626,416849081359.128,442610888485.24,486786860810.413,479686413475.524,502134232985.641,551853486423.139,578156304945.212,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Denmark,DNK,93706039466.611,98214850334.7566,102485531699.418,104829358678.936,112739320656.372,118596384121.706,124808248353.89,131497148470.869,136833603871.552,141784548049.729,152935674479.406,157881125433.367,164861508226.377,166396484113.45,178457226748.448,185552256869.12,203355644877.135,213605136245.018,227806103577.384,223703046979.697,238785561007.093,247576922067.284,250251713083.953,263167333211.328,270207300529.4,277981042931.118,296830932013.305,318639654733.583,331590779599.812,352324705726.533,365525756328.655,408303200976.803,456897040142.032,438513061150.911,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,France,FRA,1017918131665.62,1064399725552.88,1105738915576.17,1127154785825.03,1178993308760.93,1231773982403.26,1270414110757.59,1330389770082.69,1400106907159.24,1464382542213.3,1583999694706.05,1678300037622.89,1752380317938.26,1744718780179.86,1813824938509.25,1922671524499.76,2063300819387.21,2180893232947.32,2256557852935.91,2243175421296.4,2335191628255.22,2450959100790.27,2473391243170.39,2612419376499.27,2666947056893.25,2722896108490.27,2861145268728.42,2975787193760.88,3114875305157.85,3445276604424.67,3345024904336.17,3562923665911.4,3823961003427.32,3982377923514.52,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Germany,DEU,1550613715629.64,1684938757794.22,1758116904816.01,1780583740143.84,1863860562843.26,1928823780227.81,1979067789044.2,2021638908928.72,2087621230186.38,2177128848707.55,2258167813956.64,2361564516458.66,2434539237038.42,2501219461829.45,2620503338140.74,2664895195600.89,2862479058024.02,3036889882250.07,3156602685759.77,3075795495173.4,3249037482302.09,3483801358877.91,3557185428697,3700747563191.81,3882203613560.02,3966574668375.51,4246712764148.12,4472591345398.62,4665360433368.49,4924980320308.75,4880368289108.07,5202314428956.1,5663892390556.98,5763465942185.66,..
