Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,TIMESPAN:Timespan,1990-01-01_2024-12-31:,2025-04-30,2025-05-23 13:58 CEST,BIS,https://data.bis.org/topics/LBS/data?filter=TIMESPAN%3D1990-01-01_2024-12-31%255EL_POSITION%3DC%255EL_CURR_TYPE%3DA%255EL_REP_CTY_TXT%3DAll%2520reporting%2520countries%255EL_POS_TYPE%3DN%255EL_INSTR%3DA%255EL_DENOM%3DUSD%255EL_CP_SECTOR%3DN%255EL_MEASURE%3DS%255EL_CP_COUNTRY_TXT%3DArgentina%257CBolivia%257CBrazil%257CCanada%257CChile%257CColombia%257CCosta%2520Rica%257CEcuador%257CMexico%257CUnited%2520States%257CChina%257CCyprus%257CIndonesia%257CIsrael%257CJapan%257CKorea%257CMalaysia%257CSingapore%257CThailand%257CT%25C3%25BCrkiye%257CAustria%257CBelarus%257CBelgium%257CBulgaria%257CCroatia%257CCzechia%257CDenmark%257CFinland%257CFrance%257CGermany%257CGreece%257CHungary%257CIceland%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CNorway%257CPoland%257CPortugal%257CRomania%257CRussia%257CSlovakia%257CSlovenia%257CSpain%257CSweden%257CSwitzerland%257CUnited%2520Kingdom%257CAustralia%257CNew%2520Zealand%257CCzechoslovakia%257CSouth%2520Africa&page_size=100&selected_ts=BIS%2CWS_LBS_D_PUB%2C1.0%255EQ.S.C.A.USD.A.5J.A.5A.N.US%2BGB%2BIE%2BLU%2BCA%2BCN%2BSG%2BJP%2BBR%2BNL%2BFR%2BCH%2BMX%2BID%2BKR%2BAU%2BCL%2BDE%2BCO%2BTR%2BNO%2BSE%2BTH%2BDK%2BMY%2BAR%2BBE%2BES%2BFI%2BZA%2BIL%2BHU%2BEC%2BNZ%2BGR%2BIT%2BMT%2BRU%2BAT%2BCR%2BCY%2BPL%2BBO%2BBY%2BPT%2BRO%2BIS%2BSI%2BCZ%2BHR%2BSK%2BBG%2BLV%2BLT%2BC9.N,https://data.bis.org/topics/LBS/data?filter=TIMESPAN%3D1990-01-01_2024-12-31%255EL_POSITION%3DC%255EL_CURR_TYPE%3DA%255EL_REP_CTY_TXT%3DAll%2520reporting%2520countries%255EL_POS_TYPE%3DN%255EL_INSTR%3DA%255EL_DENOM%3DUSD%255EL_CP_SECTOR%3DN%255EL_MEASURE%3DS%255EL_CP_COUNTRY_TXT%3DArgentina%257CBolivia%257CBrazil%257CCanada%257CChile%257CColombia%257CCosta%2520Rica%257CEcuador%257CMexico%257CUnited%2520States%257CChina%257CCyprus%257CIndonesia%257CIsrael%257CJapan%257CKorea%257CMalaysia%257CSingapore%257CThailand%257CT%25C3%25BCrkiye%257CAustria%257CBelarus%257CBelgium%257CBulgaria%257CCroatia%257CCzechia%257CDenmark%257CFinland%257CFrance%257CGermany%257CGreece%257CHungary%257CIceland%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CNorway%257CPoland%257CPortugal%257CRomania%257CRussia%257CSlovakia%257CSlovenia%257CSpain%257CSweden%257CSwitzerland%257CUnited%2520Kingdom%257CAustralia%257CNew%2520Zealand%257CCzechoslovakia%257CSouth%2520Africa&page_size=100&selected_ts=BIS%2CWS_LBS_D_PUB%2C1.0%255EQ.S.C.A.USD.A.5J.A.5A.N.US%2BGB%2BIE%2BLU%2BCA%2BCN%2BSG%2BJP%2BBR%2BNL%2BFR%2BCH%2BMX%2BID%2BKR%2BAU%2BCL%2BDE%2BCO%2BTR%2BNO%2BSE%2BTH%2BDK%2BMY%2BAR%2BBE%2BES%2BFI%2BZA%2BIL%2BHU%2BEC%2BNZ%2BGR%2BIT%2BMT%2BRU%2BAT%2BCR%2BCY%2BPL%2BBO%2BBY%2BPT%2BRO%2BIS%2BSI%2BCZ%2BHR%2BSK%2BBG%2BLV%2BLT%2BC9.N&file_format=csv&format=wide&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/LBS

DATAFLOW_ID:Dataflow ID,"BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0","BIS,WS_LBS_D_PUB,1.0"
KEY:Timeseries Key,Q.S.C.A.USD.A.5J.A.5A.N.AR.N,Q.S.C.A.USD.A.5J.A.5A.N.AT.N,Q.S.C.A.USD.A.5J.A.5A.N.AU.N,Q.S.C.A.USD.A.5J.A.5A.N.BE.N,Q.S.C.A.USD.A.5J.A.5A.N.BG.N,Q.S.C.A.USD.A.5J.A.5A.N.BO.N,Q.S.C.A.USD.A.5J.A.5A.N.BR.N,Q.S.C.A.USD.A.5J.A.5A.N.BY.N,Q.S.C.A.USD.A.5J.A.5A.N.C9.N,Q.S.C.A.USD.A.5J.A.5A.N.CA.N,Q.S.C.A.USD.A.5J.A.5A.N.CH.N,Q.S.C.A.USD.A.5J.A.5A.N.CL.N,Q.S.C.A.USD.A.5J.A.5A.N.CN.N,Q.S.C.A.USD.A.5J.A.5A.N.CO.N,Q.S.C.A.USD.A.5J.A.5A.N.CR.N,Q.S.C.A.USD.A.5J.A.5A.N.CY.N,Q.S.C.A.USD.A.5J.A.5A.N.CZ.N,Q.S.C.A.USD.A.5J.A.5A.N.DE.N,Q.S.C.A.USD.A.5J.A.5A.N.DK.N,Q.S.C.A.USD.A.5J.A.5A.N.EC.N,Q.S.C.A.USD.A.5J.A.5A.N.ES.N,Q.S.C.A.USD.A.5J.A.5A.N.FI.N,Q.S.C.A.USD.A.5J.A.5A.N.FR.N,Q.S.C.A.USD.A.5J.A.5A.N.GB.N,Q.S.C.A.USD.A.5J.A.5A.N.GR.N,Q.S.C.A.USD.A.5J.A.5A.N.HR.N,Q.S.C.A.USD.A.5J.A.5A.N.HU.N,Q.S.C.A.USD.A.5J.A.5A.N.ID.N,Q.S.C.A.USD.A.5J.A.5A.N.IE.N,Q.S.C.A.USD.A.5J.A.5A.N.IL.N,Q.S.C.A.USD.A.5J.A.5A.N.IS.N,Q.S.C.A.USD.A.5J.A.5A.N.IT.N,Q.S.C.A.USD.A.5J.A.5A.N.JP.N,Q.S.C.A.USD.A.5J.A.5A.N.KR.N,Q.S.C.A.USD.A.5J.A.5A.N.LT.N,Q.S.C.A.USD.A.5J.A.5A.N.LU.N,Q.S.C.A.USD.A.5J.A.5A.N.LV.N,Q.S.C.A.USD.A.5J.A.5A.N.MT.N,Q.S.C.A.USD.A.5J.A.5A.N.MX.N,Q.S.C.A.USD.A.5J.A.5A.N.MY.N,Q.S.C.A.USD.A.5J.A.5A.N.NL.N,Q.S.C.A.USD.A.5J.A.5A.N.NO.N,Q.S.C.A.USD.A.5J.A.5A.N.NZ.N,Q.S.C.A.USD.A.5J.A.5A.N.PL.N,Q.S.C.A.USD.A.5J.A.5A.N.PT.N,Q.S.C.A.USD.A.5J.A.5A.N.RO.N,Q.S.C.A.USD.A.5J.A.5A.N.RU.N,Q.S.C.A.USD.A.5J.A.5A.N.SE.N,Q.S.C.A.USD.A.5J.A.5A.N.SG.N,Q.S.C.A.USD.A.5J.A.5A.N.SI.N,Q.S.C.A.USD.A.5J.A.5A.N.SK.N,Q.S.C.A.USD.A.5J.A.5A.N.TH.N,Q.S.C.A.USD.A.5J.A.5A.N.TR.N,Q.S.C.A.USD.A.5J.A.5A.N.US.N,Q.S.C.A.USD.A.5J.A.5A.N.ZA.N
FREQ:Frequency,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly,Q:Quarterly
L_MEASURE:Measure,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks,S:Amounts outstanding / Stocks
L_POSITION:Balance sheet position,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims,C:Total claims
L_INSTR:Type of instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments,A:All instruments
L_DENOM:Currency denomination,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar,USD:US dollar
L_CURR_TYPE:Currency type of reporting country,A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U),A:All currencies (=D+F+U)
L_PARENT_CTY:Parent country,5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total),5J:All countries (total)
L_REP_BANK_TYPE:Type of reporting institutions,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)","A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)"
L_REP_CTY:Reporting country,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries,5A:All reporting countries
