quarter,inflows
1990-03-31,572.283
1990-06-30,590.46
1990-09-30,633.308
1990-12-31,666.986
1991-03-31,674.925
1991-06-30,686.001
1991-09-30,695.504
1991-12-31,707.82
1992-03-31,725.388
1992-06-30,742.094
1992-09-30,762.656
1992-12-31,775.825
1993-03-31,774.204
1993-06-30,813.489
1993-09-30,824.082
1993-12-31,832.86
1994-03-31,848.351
1994-06-30,851.177
1994-09-30,860.952
1994-12-31,860.198
1995-03-31,877.974
1995-06-30,945.706
1995-09-30,963.52
1995-12-31,1046.437
1996-03-31,1027.149
1996-06-30,1037.104
1996-09-30,1054.041
1996-12-31,1081.798
1997-03-31,1131.107
1997-06-30,1167.508
1997-09-30,1205.566
1997-12-31,1253.689
1998-03-31,1192.563
1998-06-30,1218.876
1998-09-30,1188.708
1998-12-31,1198.153
1999-03-31,1216.863
1999-06-30,1253.505
1999-09-30,1248.701
1999-12-31,1271.927
2000-03-31,1281.51
2000-06-30,1283.092
2000-09-30,1295.438
2000-12-31,1338.986
2001-03-31,1468.744
2001-06-30,1498.416
2001-09-30,1489.311
2001-12-31,1535.111
2002-03-31,1555.307
2002-06-30,1570.734
2002-09-30,1627.205
2002-12-31,1673.035
2003-03-31,1730.048
2003-06-30,1817.447
2003-09-30,1859.077
2003-12-31,1919.942
2004-03-31,2102.188
2004-06-30,2057.36
2004-09-30,2088.365
2004-12-31,2168.78
2005-03-31,2385.319
2005-06-30,2438.114
2005-09-30,2550.353
2005-12-31,2594.971
2006-03-31,2818.284
2006-06-30,2987.727
2006-09-30,3129.319
2006-12-31,3365.325
2007-03-31,3627.39
2007-06-30,3904.462
2007-09-30,4008.521
2007-12-31,4007.104
2008-03-31,4263.315
2008-06-30,4084.242
2008-09-30,4070.325
2008-12-31,3653.121
2009-03-31,3615.089
2009-06-30,3638.082
2009-09-30,3687.1325
2009-12-31,3565.06
2010-03-31,3680.207
2010-06-30,3624.629
2010-09-30,3847.898
2010-12-31,3832.375
2011-03-31,4005.752283
2011-06-30,4042.945
2011-09-30,3951.917
2011-12-31,3936.822
2012-03-31,3927.3707349999995
2012-06-30,3822.756302
2012-09-30,3929.637085
2012-12-31,3972.383086
2013-03-31,4011.109945999999
2013-06-30,3923.4539609999997
2013-09-30,3858.067419
2013-12-31,3920.2928390000006
2014-03-31,4020.6671260000003
2014-06-30,4023.016307
2014-09-30,4093.360047
2014-12-31,3950.7608220000006
2015-03-31,4118.078292
2015-06-30,4003.927656
2015-09-30,4067.798767999999
2015-12-31,4209.951837
2016-03-31,4432.387074
2016-06-30,4516.86977
2016-09-30,4601.286371
2016-12-31,4429.559182999999
2017-03-31,4525.821021000001
2017-06-30,4530.870379
2017-09-30,4654.288366999999
2017-12-31,4686.840734000001
2018-03-31,4813.915034999999
2018-06-30,4693.021613
2018-09-30,4719.446831
2018-12-31,4883.554370999999
2019-03-31,4956.434512999999
2019-06-30,4957.320025000001
2019-09-30,5045.9559260000015
2019-12-31,5157.471324000001
2020-03-31,5649.356215
2020-06-30,5380.632558
2020-09-30,5421.8816830000005
2020-12-31,5715.856719
2021-03-31,5935.445782000001
2021-06-30,5855.681527
2021-09-30,5995.976323999999
2021-12-31,6157.530523000001
2022-03-31,6200.097177
2022-06-30,5898.111726
2022-09-30,5891.332269
2022-12-31,5854.265096000001
2023-03-31,6030.138827999999
2023-06-30,6213.537047999999
2023-09-30,6409.185171
2023-12-31,6576.837726000001
2024-03-31,6910.5316809999995
2024-06-30,6879.0753730000015
2024-09-30,7168.169157999999
2024-12-31,7166.457999
