"Series Description","Security brokers and dealers; total financial assets ","Security brokers and dealers; checkable deposits and currency; asset","Security brokers and dealers; security repurchase agreements; asset","Security brokers and dealers; debt securities; asset","Security brokers and dealers; commercial paper (net); asset","Security brokers and dealers; Treasury securities (net); asset","Security brokers and dealers; agency- and GSE-backed securities (net); asset","Security brokers and dealers; municipal securities (net) ; asset","Security brokers and dealers; corporate and foreign bonds (net); asset","Security brokers and dealers; other loans and advances; asset ","Security brokers and dealers; U.S. direct investment abroad: intercompany debt (market value)","Security brokers and dealers; corporate equities (net); asset","Security brokers and dealers; U.S. direct investment abroad: equity (market value)","Security brokers and dealers; total miscellaneous assets","Security brokers and dealers; receivables due from other brokers and dealers and clearing organizations; asset","Security brokers and dealers; balances due from holding company parent; asset","Security brokers and dealers; unidentified miscellaneous assets","Security brokers and dealers; total liabilities and equity","Security brokers and dealers; total liabilities ","Security brokers and dealers; security repurchase agreements; liability","Security brokers and dealers; corporate and foreign bonds; liability","Security brokers and dealers; loans; liability","Security brokers and dealers; depository institution loans n.e.c.; liability ","Security brokers and dealers; payables to customer and noncustomers (free credit, margin deposits, and other payables); liability","Security brokers and dealers; foreign direct investment in U.S.: intercompany debt, adjusted for U.S. Intermediate Holding Companies; liability (market value)","Security brokers and dealers; trade payables; liability","Security brokers and dealers; taxes payable; liability","Security brokers and dealers; total miscellaneous liabilities","Security brokers and dealers; payables owed to other brokers and dealers and clearing organizations; liability","Security brokers and dealers; other investment by holding company parent; liability","Security brokers and dealers; unidentified miscellaneous liabilities","Security brokers and dealers; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA)","Security brokers and dealers; corporate equities; liability","Security brokers and dealers; foreign direct investment in U.S.: equity, adjusted for U.S. Intermediate Holding Companies; liability (market value)","Security brokers and dealers; proprietors' equity in noncorporate business","Security brokers and dealers; equity investment by holding company parent; liability","Security brokers and dealers; investment by funding corporations; liability","Security brokers and dealers; total securities sold short; liability","Security brokers and dealers; commercial paper securities sold short; liability","Security brokers and dealers; Treasury securities sold short; liability","Security brokers and dealers; agency- and GSE-backed securities sold short; liability","Security brokers and dealers; municipal securities sold short; liability","Security brokers and dealers; corporate and foreign bond securities sold short; liability","Security brokers and dealers; corporate equity securities sold short; liability","Security brokers and dealers; derivatives, commodities, and other miscellaneous sold short; liability"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FL664090005.Q","Z1/Z1/FL663020003.Q","Z1/Z1/FL662051003.Q","Z1/Z1/LM664022005.Q","Z1/Z1/FL663069105.Q","Z1/Z1/LM663061105.Q","Z1/Z1/LM663061705.Q","Z1/Z1/LM663062005.Q","Z1/Z1/LM663063005.Q","Z1/Z1/FL663069005.Q","Z1/Z1/LM663092305.Q","Z1/Z1/LM663064105.Q","Z1/Z1/LM663092103.Q","Z1/Z1/FL663090005.Q","Z1/Z1/FL663070605.Q","Z1/Z1/FL663094705.Q","Z1/Z1/FL663093005.Q","Z1/Z1/FL664194005.Q","Z1/Z1/FL664190005.Q","Z1/Z1/FL662151003.Q","Z1/Z1/FL663163003.Q","Z1/Z1/FL664123005.Q","Z1/Z1/FL663168005.Q","Z1/Z1/FL663167005.Q","Z1/Z1/LM663192305.Q","Z1/Z1/FL663170003.Q","Z1/Z1/FL663178003.Q","Z1/Z1/FL663190005.Q","Z1/Z1/FL663170605.Q","Z1/Z1/FL663194705.Q","Z1/Z1/FL663193005.Q","Z1/Z1/FL663181105.Q","Z1/Z1/LM663164105.Q","Z1/Z1/LM663192103.Q","Z1/Z1/LM662090003.Q","Z1/Z1/FL663194605.Q","Z1/Z1/FL663194505.Q","Z1/Z1/FL664160000.Q","Z1/Z1/FL664166903.Q","Z1/Z1/FL664161103.Q","Z1/Z1/FL664161703.Q","Z1/Z1/FL664166203.Q","Z1/Z1/FL664166303.Q","Z1/Z1/FL664164103.Q","Z1/Z1/FL664169305.Q"
"Time Period","FL664090005.Q","FL663020003.Q","FL662051003.Q","LM664022005.Q","FL663069105.Q","LM663061105.Q","LM663061705.Q","LM663062005.Q","LM663063005.Q","FL663069005.Q","LM663092305.Q","LM663064105.Q","LM663092103.Q","FL663090005.Q","FL663070605.Q","FL663094705.Q","FL663093005.Q","FL664194005.Q","FL664190005.Q","FL662151003.Q","FL663163003.Q","FL664123005.Q","FL663168005.Q","FL663167005.Q","LM663192305.Q","FL663170003.Q","FL663178003.Q","FL663190005.Q","FL663170605.Q","FL663194705.Q","FL663193005.Q","FL663181105.Q","LM663164105.Q","LM663192103.Q","LM662090003.Q","FL663194605.Q","FL663194505.Q","FL664160000.Q","FL664166903.Q","FL664161103.Q","FL664161703.Q","FL664166203.Q","FL664166303.Q","FL664164103.Q","FL664169305.Q"
1990Q1,596622,10145,327226,128637,17097,35455,53971,6162,15952,41977,124,-17603,3396,102720,109747,0,-7027,638276,567676,377772,12289,70833,20113,50720,1429,6095,645,98613,64467,44724,-10578,70600,9080,5437,5725,20497,29861,111587,0,44795,0,0,11025,27487,28280
1990Q2,585681,8726,317861,128021,14484,32661,55315,6726,18835,40022,122,-16709,3419,104219,116918,0,-12699,629986,556446,365215,10825,71568,19180,52388,1461,5866,696,100815,63704,42219,-5108,73540,9304,5550,5497,20285,32904,120049,0,48192,0,0,11861,29572,30424
1990Q3,584625,10879,329569,117964,14150,24957,54083,7389,17385,36722,145,-24320,3501,110165,122664,3930,-16429,625724,556741,372039,14312,73855,18495,55360,1454,5720,688,88673,55579,35471,-2377,68983,6662,5619,5225,20686,30791,135147,0,54253,0,0,13353,33291,34250
1990Q4,611464,10248,297813,166025,18393,53444,69164,7894,17130,38809,112,-19795,2867,115385,122921,2920,-10456,650301,584797,396720,15289,80736,15885,64851,808,6103,664,84477,51518,34284,-1325,65504,6737,2882,4524,17571,33790,119149,0,47831,0,0,11772,29350,30196
1991Q1,636614,10168,326912,158875,17322,48945,70076,6636,15896,36867,121,-20385,2918,121138,131467,3226,-13555,680246,608137,410411,16421,80004,16642,63362,1037,5774,568,93922,59446,35091,-615,72109,10536,3970,5004,17383,35216,134567,0,54021,0,0,13295,33148,34103
1991Q2,676860,10594,344404,170789,14620,52942,74245,9149,19833,37562,103,-22042,3036,132414,142190,3154,-12930,723342,647964,442715,18154,80159,19038,61121,1179,6469,605,98683,62696,31794,4193,75378,11559,4225,5186,17303,37105,139919,0,56169,0,0,13824,34466,35460
1991Q3,733987,9071,359831,190234,14795,64435,78111,8435,24458,45059,106,-18750,3213,145223,156048,3043,-13868,786309,704764,485325,18212,91588,18954,72634,1188,6202,687,101562,66028,29446,6088,81545,13980,4514,5644,16774,40633,131966,0,52976,0,0,13038,32507,33445
1991Q4,725379,10191,319012,187218,13958,61386,74042,9448,28384,55066,128,-16899,4298,166365,176794,3082,-13511,786405,695767,441925,19000,117597,22136,95461,1152,6785,850,108458,73857,27880,6721,90638,18202,5614,5680,16655,44487,126521,0,50791,0,0,12500,31166,32064
1992Q1,736879,9976,336591,179204,13573,54769,72303,7866,30693,51227,177,-22602,4448,177858,195789,3100,-21031,802368,705940,462400,19686,99811,21357,78454,1163,6002,877,116001,77797,27663,10541,96428,17893,5799,5685,17359,49692,141827,0,56935,0,0,14013,34936,35943
1992Q2,809304,10313,378374,214977,16668,69306,87053,10120,31830,56332,193,-26619,4695,171039,196904,3047,-28912,874031,776127,507136,23104,108545,21645,86900,1206,6432,908,128796,87572,24679,16545,97904,16239,5910,5521,17445,52789,159560,0,64054,0,0,15765,39305,40436
1992Q3,900447,10651,401339,236985,16195,74754,96594,9364,40078,55840,191,-33083,4751,223773,247655,3109,-26991,972816,867102,579111,22706,109574,22725,86849,1188,6554,979,146990,103387,27206,16397,105714,16780,5956,6048,17859,59071,183310,0,73588,0,0,18111,45155,46456
1992Q4,866870,10367,407726,206084,15200,61889,83309,11313,34373,53474,297,-26319,6208,209033,230946,3271,-25184,946333,832624,567447,21694,110928,25380,85548,1055,7389,888,123223,77412,23386,22425,113709,20111,5320,5889,18726,63663,166857,0,66983,0,0,16485,41102,42287
1993Q1,963082,11086,439658,238674,15752,73865,98649,9904,40504,59775,331,-32429,6402,239585,267127,2673,-30215,1061642,927147,626314,19323,124191,23131,101060,1784,8101,1091,146343,107443,15780,23120,134495,29157,8725,6875,19868,69870,195819,0,78610,0,0,19347,48236,49626
1993Q2,982082,10872,447275,248515,15267,77936,98508,14351,42453,59048,427,-27028,7001,235972,259453,2748,-26229,1090701,945748,623513,22754,140472,27947,112525,2602,9931,1067,145409,95962,17881,31566,144953,30006,12050,6516,20377,76004,187720,0,75358,0,0,18547,46241,47574
1993Q3,1075908,11007,504000,264409,14642,76758,108725,14216,50068,67376,393,-32545,7042,254226,287292,1878,-34944,1194802,1034798,690693,26419,138895,29237,109658,3444,10437,1447,163463,109374,16904,37185,160004,36563,15352,7255,21591,79243,219455,0,88098,0,0,21682,54059,55616
1993Q4,1078672,12281,490861,240732,14868,61499,94589,17133,52643,76123,351,-26620,5951,278993,306138,2005,-29150,1205139,1036831,675444,33734,144784,32473,112311,5675,10069,1401,165724,109033,25392,31299,168308,32738,24621,6966,23142,80841,206497,0,82896,0,0,20402,50867,52332
