Table 1.1.9. Implicit Price Deflators for Gross Domestic Product
Table 1.1.9. Implicit Price Deflators for Gross Domestic Product
"Last Revised on: April 30, 2025 - Next Release Date May 29, 2025"
Line,,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,"        Gross domestic product",58.450,59.105,59.611,60.055,60.643,61.088,61.566,61.931,62.161,62.535,62.841,63.273,63.628,64.007,64.387,64.738,65.048,65.362,65.737,66.093,66.452,66.771,67.100,67.423,67.747,68.028,68.251,68.615,69.025,69.162,69.464,69.695,69.794,69.959,70.255,70.453,70.682,70.949,71.200,71.595,72.071,72.520,72.944,73.337,73.822,74.266,74.558,74.792,75.027,75.289,75.650,76.089,76.461,76.730,77.169,77.639,78.193,78.824,79.324,79.939,80.578,81.158,81.898,82.571,83.156,83.882,84.468,84.770,85.576,86.171,86.642,86.993,87.315,87.738,88.399,88.613,88.543,88.396,88.501,88.781,89.036,89.471,89.743,90.264,90.726,91.326,91.876,91.985,92.525,92.907,93.417,93.885,94.258,94.461,94.924,95.426,95.788,96.330,96.726,96.822,96.769,97.325,97.583,97.581,97.496,98.159,98.410,98.886,99.390,99.650,100.162,100.778,101.419,102.136,102.577,103.019,103.328,103.862,104.192,104.516,104.999,104.612,105.527,106.244,107.590,109.256,110.897,112.826,115.119,117.731,119.057,120.157,121.251,121.804,122.768,123.241,124.163,124.943,125.532,126.257,127.423
2,Personal consumption expenditures,58.799,59.333,60.087,60.882,61.201,61.534,61.951,62.400,62.790,63.207,63.610,64.054,64.436,64.869,65.151,65.527,65.761,66.128,66.603,66.916,67.244,67.635,67.912,68.210,68.589,69.048,69.342,69.815,70.124,70.300,70.485,70.707,70.713,70.840,71.058,71.245,71.384,71.789,72.183,72.622,73.212,73.562,74.037,74.457,75.011,75.363,75.401,75.431,75.582,76.142,76.535,76.892,77.480,77.557,78.068,78.451,79.056,79.587,79.979,80.662,81.131,81.644,82.526,83.184,83.617,84.352,84.959,84.818,85.593,86.319,86.808,87.691,88.407,89.269,90.222,88.781,88.181,88.531,89.141,89.828,90.175,90.314,90.488,91.068,91.833,92.737,93.166,93.474,94.093,94.320,94.594,95.124,95.458,95.506,95.899,96.252,96.694,97.126,97.392,97.263,96.827,97.311,97.563,97.488,97.535,98.154,98.492,98.943,99.520,99.720,100.073,100.672,101.377,101.910,102.252,102.640,102.848,103.423,103.670,104.076,104.395,103.975,104.814,105.316,106.496,108.152,109.646,111.461,113.567,115.663,117.010,118.169,119.316,120.177,120.978,121.473,122.501,123.269,123.741,124.471,125.577
3,"    Goods",85.300,85.628,86.839,88.409,88.350,88.519,88.678,89.042,89.145,89.523,89.981,90.201,90.366,90.445,90.342,90.824,90.725,91.040,91.878,91.997,92.109,92.300,92.325,92.346,92.959,93.368,93.192,93.608,93.721,93.217,92.956,92.833,92.113,91.746,91.717,91.549,91.451,92.104,92.559,92.878,93.603,94.042,94.296,94.405,94.404,94.560,94.082,93.069,92.651,93.298,93.282,93.250,93.776,92.485,92.924,92.851,93.604,94.127,94.196,95.289,95.117,95.464,97.050,97.151,97.075,97.821,98.391,96.700,97.375,98.431,98.638,99.847,100.869,102.123,103.836,99.201,97.457,98.542,99.758,100.563,100.707,100.116,100.090,101.209,102.788,104.520,104.878,105.112,105.764,105.423,105.409,105.882,105.756,104.788,104.914,104.745,104.903,105.010,104.799,103.486,101.347,101.874,101.613,100.573,99.518,99.960,99.565,99.797,100.331,99.712,99.744,100.213,100.748,101.012,100.840,100.645,100.217,100.695,100.333,100.459,100.156,98.714,99.679,100.016,101.380,103.524,105.371,108.073,111.176,113.989,114.677,114.734,114.950,115.112,115.256,114.805,114.658,114.856,114.396,114.293,114.928
4,"        Durable goods",147.117,147.133,147.198,147.494,148.753,149.125,149.677,149.999,149.993,150.401,150.523,150.753,150.670,151.460,152.194,153.199,153.555,154.474,155.569,155.841,156.473,156.309,155.810,155.466,155.583,154.558,154.156,153.491,152.903,151.435,150.428,149.599,148.513,147.411,146.285,145.190,143.956,143.227,142.556,141.699,141.032,140.732,139.874,139.547,138.936,137.957,137.045,136.360,135.148,134.463,133.797,132.924,131.243,129.829,128.517,127.331,127.196,127.072,126.092,126.262,125.994,125.818,124.911,124.621,124.097,123.521,122.972,122.191,121.559,120.977,120.137,119.619,119.263,118.476,118.095,117.260,116.647,116.356,115.474,115.875,115.252,114.227,113.377,113.017,113.022,113.301,113.118,112.664,112.514,111.855,111.213,110.831,110.550,109.816,109.219,108.647,107.722,107.001,106.616,105.818,105.057,105.112,104.475,103.848,103.348,103.034,101.983,101.053,100.976,100.376,99.499,99.224,99.092,98.842,98.363,98.243,98.485,97.974,97.384,96.953,96.724,95.850,96.888,97.648,98.024,101.280,103.624,106.023,108.307,108.602,109.360,108.970,108.852,108.773,107.599,106.724,106.596,105.909,105.276,105.254,105.484
5,"        Nondurable goods",63.534,63.899,65.243,66.933,66.599,66.707,66.766,67.102,67.217,67.551,68.038,68.237,68.442,68.355,68.072,68.390,68.194,68.340,69.047,69.119,69.100,69.359,69.507,69.615,70.301,71.034,70.929,71.589,71.875,71.659,71.614,71.691,71.118,70.976,71.260,71.370,71.610,72.644,73.423,74.086,75.221,75.879,76.479,76.729,76.936,77.462,77.142,76.041,75.902,76.993,77.208,77.480,78.775,77.559,78.633,78.971,80.042,80.797,81.259,82.694,82.556,83.100,85.661,85.912,86.007,87.267,88.277,86.239,87.437,89.145,89.770,91.668,93.222,95.266,97.779,91.736,89.588,91.160,93.147,94.101,94.536,94.115,94.406,96.095,98.284,100.580,101.151,101.664,102.650,102.445,102.696,103.533,103.472,102.402,102.847,102.860,103.502,103.987,103.858,102.308,99.526,100.273,100.192,98.955,97.635,98.439,98.365,99.172,100.012,99.383,99.872,100.721,101.599,102.132,102.121,101.889,101.116,102.110,101.867,102.285,101.933,100.198,101.127,101.225,103.185,104.660,106.219,109.095,112.667,116.928,117.576,117.890,118.300,118.604,119.531,119.332,119.173,119.897,119.542,119.390,120.269
6,"    Services",48.159,48.762,49.337,49.838,50.287,50.672,51.172,51.640,52.121,52.542,52.917,53.429,53.878,54.426,54.839,55.168,55.518,55.896,56.231,56.608,57.008,57.463,57.825,58.218,58.506,58.975,59.437,59.923,60.299,60.723,61.072,61.420,61.698,62.011,62.321,62.641,62.871,63.175,63.542,64.024,64.555,64.867,65.426,65.968,66.738,67.166,67.407,67.855,68.232,68.751,69.309,69.824,70.437,71.078,71.618,72.193,72.732,73.265,73.791,74.299,75.041,75.625,76.203,77.100,77.753,78.482,79.106,79.638,80.456,81.039,81.649,82.391,82.973,83.670,84.307,84.178,84.047,84.106,84.470,85.107,85.532,85.967,86.222,86.579,87.008,87.568,88.025,88.363,88.966,89.428,89.820,90.372,90.898,91.379,91.885,92.461,93.025,93.599,94.073,94.464,94.781,95.245,95.727,96.085,96.628,97.327,97.998,98.550,99.148,99.726,100.227,100.887,101.671,102.329,102.913,103.575,104.083,104.706,105.251,105.799,106.430,106.541,107.316,107.912,108.991,110.369,111.665,113.001,114.567,116.280,117.968,119.697,121.325,122.548,123.688,124.673,126.301,127.359,128.307,129.466,130.813
7,Gross private domestic investment,77.483,77.757,78.205,78.425,79.164,79.334,79.551,79.366,79.045,79.213,79.448,79.640,79.708,80.031,80.679,80.658,80.969,81.237,81.724,81.995,82.386,82.638,83.086,83.056,82.981,82.859,82.386,82.819,83.499,82.175,82.834,82.604,82.394,82.106,82.191,82.302,82.595,82.343,82.105,82.479,82.963,83.348,83.522,83.641,83.568,83.509,84.144,84.227,84.553,84.095,84.199,84.688,84.768,84.743,84.768,85.460,86.226,87.107,87.858,88.733,89.774,90.606,91.404,92.577,93.464,93.988,94.353,94.932,95.152,95.480,96.115,95.658,95.411,96.167,96.485,98.674,97.190,95.443,94.584,93.902,93.737,93.897,93.574,93.922,94.316,94.365,94.992,95.074,95.378,95.795,95.806,96.414,96.522,96.453,96.444,96.911,97.486,98.006,98.400,99.022,99.016,98.890,99.052,98.840,98.280,98.763,98.803,99.092,99.421,99.914,100.200,100.438,100.905,101.393,101.785,102.075,102.536,103.006,103.132,102.921,103.488,103.395,104.099,104.724,105.345,106.349,107.892,110.142,112.565,115.150,117.227,118.250,119.445,119.074,119.495,120.212,120.488,121.255,122.099,122.564,122.928
8,"    Fixed investment",76.012,76.313,76.780,77.189,77.828,77.965,78.041,77.789,77.670,77.818,78.005,78.279,78.542,78.810,78.959,79.206,79.643,79.903,80.251,80.575,81.082,81.382,81.633,81.614,81.501,81.358,81.581,81.547,81.561,81.621,81.738,81.637,81.338,81.170,81.122,81.163,81.268,81.333,81.234,81.495,82.009,82.344,82.705,82.873,82.907,83.164,83.361,83.403,83.320,83.401,83.333,83.761,84.078,84.003,84.033,84.598,85.358,86.265,86.995,87.860,88.790,89.655,90.673,91.707,92.572,93.152,93.645,94.359,94.831,94.889,94.861,94.845,95.053,95.187,95.797,96.697,95.996,94.722,93.720,93.495,93.009,92.933,92.928,93.229,93.490,93.962,94.133,94.336,94.797,95.078,95.465,95.609,95.636,95.939,96.240,96.795,97.446,97.649,98.178,98.383,98.626,98.599,98.651,98.455,98.114,98.432,98.566,99.072,99.405,99.909,100.254,100.412,100.945,101.448,101.837,102.034,102.545,102.965,103.179,103.145,103.496,103.861,104.366,104.956,105.678,106.702,108.529,110.697,113.304,115.973,117.952,119.063,120.093,120.051,120.472,121.157,121.437,122.212,123.177,123.659,124.034
9,"        Nonresidential",91.134,91.494,92.124,92.730,93.636,93.721,93.672,93.394,93.318,93.243,93.311,93.328,93.397,93.470,93.419,93.705,93.961,94.159,94.361,94.452,94.865,95.174,95.436,95.224,94.921,94.551,94.569,94.374,94.250,94.190,94.118,93.739,93.196,92.731,92.353,92.139,92.011,91.777,91.373,91.524,91.781,91.977,92.258,92.241,91.864,91.832,91.606,91.476,91.407,91.322,91.054,91.087,90.739,90.559,90.319,90.462,90.716,91.257,91.486,92.123,92.975,93.569,93.904,94.633,95.218,95.689,96.279,97.033,97.506,97.692,97.655,97.626,98.047,98.351,99.379,100.884,100.157,98.817,97.689,97.232,96.581,96.644,96.639,96.904,97.190,97.707,97.915,98.160,98.767,99.044,99.361,99.339,99.046,99.140,99.224,99.495,99.834,100.033,100.290,100.500,100.647,100.488,100.330,99.918,99.372,99.434,99.207,99.506,99.721,100.016,100.135,100.119,100.180,100.333,100.554,100.635,101.123,101.550,101.596,101.347,101.622,102.047,101.981,102.174,102.122,102.195,103.270,104.964,106.710,108.778,110.507,111.434,112.964,113.036,113.172,113.649,114.026,114.678,115.560,115.986,116.116
