"","region_asset","full","postGFC","preGFC"
"1","Africa-ME Liability FDI",0.03,0.08,0.09
"2","Africa-ME Liability Other Inv",-0.06,0.05,-0.23
"3","Africa-ME Liability Port. Debt",-0.1,0.03,-0.32
"4","Africa-ME Liability Port. Equity",-0.21,-0.26,-0.19
"5","Asia-Pacific Liability FDI",0.03,0.01,0.19
"6","Asia-Pacific Liability Other Inv",0.15,0.29,-0.02
"7","Asia-Pacific Liability Port. Debt",-0.08,0.13,-0.25
"8","Asia-Pacific Liability Port. Equity",-0.33,-0.41,-0.27
"9","CE Europe Liability FDI",0.07,0.05,0.16
"10","CE Europe Liability Other Inv",-0.06,0.01,-0.11
"11","CE Europe Liability Port. Debt",-0.26,-0.21,-0.35
"12","CE Europe Liability Port. Equity",-0.31,-0.35,-0.34
"13","Em. Asia Liability FDI",-0.05,0.02,0.06
"14","Em. Asia Liability Other Inv",0.04,0.25,-0.29
"15","Em. Asia Liability Port. Debt",-0.24,-0.3,-0.38
"16","Em. Asia Liability Port. Equity",-0.2,-0.14,-0.34
"17","Latin America Liability FDI",0.06,0,0.4
"18","Latin America Liability Other Inv",0.09,0.21,0.03
"19","Latin America Liability Port. Debt",-0.26,-0.24,-0.27
"20","Latin America Liability Port. Equity",-0.29,-0.24,-0.39
"21","North America Liability FDI",-0.07,-0.22,0.14
"22","North America Liability Other Inv",0.02,0.31,-0.37
"23","North America Liability Port. Debt",-0.3,-0.36,-0.24
"24","North America Liability Port. Equity",0.2,0.32,0.01
"25","W Europe Liability FDI",-0.01,-0.05,0.06
"26","W Europe Liability Other Inv",0.01,0.35,-0.34
"27","W Europe Liability Port. Debt",-0.1,-0.13,-0.09
"28","W Europe Liability Port. Equity",-0.39,-0.42,-0.4
