"","region_asset","full","postGFC","preGFC"
"1","Africa-ME Liability FDI",0.694,0.517,0.445
"2","Africa-ME Liability Other Inv",0.466,0.678,0.047
"3","Africa-ME Liability Port. Debt",0.224,0.805,0.005
"4","Africa-ME Liability Port. Equity",0.014,0.04,0.092
"5","Asia-Pacific Liability FDI",0.692,0.938,0.095
"6","Asia-Pacific Liability Other Inv",0.07,0.02,0.877
"7","Asia-Pacific Liability Port. Debt",0.373,0.308,0.026
"8","Asia-Pacific Liability Port. Equity",0,0.001,0.016
"9","CE Europe Liability FDI",0.382,0.679,0.169
"10","CE Europe Liability Other Inv",0.468,0.958,0.32
"11","CE Europe Liability Port. Debt",0.002,0.1,0.002
"12","CE Europe Liability Port. Equity",0,0.005,0.003
"13","Em. Asia Liability FDI",0.59,0.895,0.621
"14","Em. Asia Liability Other Inv",0.636,0.053,0.011
"15","Em. Asia Liability Port. Debt",0.004,0.019,0.001
"16","Em. Asia Liability Port. Equity",0.018,0.268,0.002
"17","Latin America Liability FDI",0.507,0.995,0
"18","Latin America Liability Other Inv",0.279,0.097,0.789
"19","Latin America Liability Port. Debt",0.002,0.061,0.018
"20","Latin America Liability Port. Equity",0,0.064,0
"21","North America Liability FDI",0.401,0.091,0.238
"22","North America Liability Other Inv",0.794,0.013,0.001
"23","North America Liability Port. Debt",0,0.005,0.038
"24","North America Liability Port. Equity",0.017,0.011,0.956
"25","W Europe Liability FDI",0.912,0.701,0.625
"26","W Europe Liability Other Inv",0.864,0.005,0.002
"27","W Europe Liability Port. Debt",0.228,0.302,0.408
"28","W Europe Liability Port. Equity",0,0.001,0
