"","region_asset","full","postGFC","preGFC"
"1","Africa-ME Liability FDI",0.06,0.05,-0.05
"2","Africa-ME Liability Other Inv",0.01,0.08,-0.04
"3","Africa-ME Liability Port. Debt",-0.06,0.09,-0.17
"4","Africa-ME Liability Port. Equity",-0.16,-0.22,-0.13
"5","Asia-Pacific Liability FDI",0.01,-0.13,0.09
"6","Asia-Pacific Liability Other Inv",0.1,0.22,0.11
"7","Asia-Pacific Liability Port. Debt",0.05,0.24,-0.12
"8","Asia-Pacific Liability Port. Equity",-0.26,-0.37,-0.18
"9","CE Europe Liability FDI",0.04,-0.02,0.05
"10","CE Europe Liability Other Inv",0.03,-0.03,-0.08
"11","CE Europe Liability Port. Debt",-0.21,-0.11,-0.18
"12","CE Europe Liability Port. Equity",-0.23,-0.21,-0.22
"13","Em. Asia Liability FDI",-0.01,0.04,-0.11
"14","Em. Asia Liability Other Inv",0.1,0.29,-0.11
"15","Em. Asia Liability Port. Debt",-0.22,-0.17,-0.23
"16","Em. Asia Liability Port. Equity",-0.13,-0.16,-0.39
"17","Latin America Liability FDI",0.07,-0.03,0.33
"18","Latin America Liability Other Inv",0.14,0.22,0.02
"19","Latin America Liability Port. Debt",-0.2,-0.09,-0.16
"20","Latin America Liability Port. Equity",-0.19,-0.11,-0.32
"21","North America Liability FDI",0,-0.21,0.11
"22","North America Liability Other Inv",0.07,0.26,-0.15
"23","North America Liability Port. Debt",-0.21,-0.36,-0.2
"24","North America Liability Port. Equity",0.23,0.38,-0.06
"25","W Europe Liability FDI",0.09,0.05,-0.01
"26","W Europe Liability Other Inv",0.12,0.36,-0.15
"27","W Europe Liability Port. Debt",-0.1,-0.17,-0.23
"28","W Europe Liability Port. Equity",-0.31,-0.34,-0.46
