"","region_asset","full","postGFC","preGFC"
"1","Africa-ME Liability FDI","0.484","0.721","0.679"
"2","Africa-ME Liability Other Inv","0.885","0.528","0.728"
"3","Africa-ME Liability Port. Debt","0.493","0.491","0.147"
"4","Africa-ME Liability Port. Equity","0.064","0.088","0.269"
"5","Asia-Pacific Liability FDI","0.871","0.304","0.451"
"6","Asia-Pacific Liability Other Inv","0.224","0.079","0.330"
"7","Asia-Pacific Liability Port. Debt","0.532","0.061","0.280"
"8","Asia-Pacific Liability Port. Equity","0.002","0.003","0.119"
"9","CE Europe Liability FDI","0.666","0.883","0.662"
"10","CE Europe Liability Other Inv","0.736","0.813","0.496"
"11","CE Europe Liability Port. Debt","0.015","0.406","0.121"
"12","CE Europe Liability Port. Equity","0.006","0.097","0.051"
"13","Em. Asia Liability FDI","0.942","0.763","0.357"
"14","Em. Asia Liability Other Inv","0.259","0.022","0.346"
"15","Em. Asia Liability Port. Debt","0.008","0.197","0.041"
"16","Em. Asia Liability Port. Equity","0.120","0.210","0.000"
"17","Latin America Liability FDI","0.390","0.804","0.003"
"18","Latin America Liability Other Inv","0.097","0.081","0.869"
"19","Latin America Liability Port. Debt","0.017","0.499","0.152"
"20","Latin America Liability Port. Equity","0.024","0.388","0.005"
"21","North America Liability FDI","0.955","0.105","0.363"
"22","North America Liability Other Inv","0.436","0.038","0.186"
"23","North America Liability Port. Debt","0.015","0.004","0.086"
"24","North America Liability Port. Equity","0.006","0.002","0.625"
"25","W Europe Liability FDI","0.271","0.680","0.916"
"26","W Europe Liability Other Inv","0.152","0.004","0.179"
"27","W Europe Liability Port. Debt","0.252","0.175","0.041"
"28","W Europe Liability Port. Equity","0.000","0.007","0.000"
