"","block","variable","full","postGFC","preGFC"
"1","Asia Pacific","lev_qoq",-0.19,-0.5,-0.14
"2","Asia Pacific","lev_qoq_upd",-0.3,-0.54,-0.22
"3","Asia Pacific","med_leverage",0.25,0.13,0.09
"4","Asia Pacific","ndc_qoq",0.02,0.23,-0.06
"5","Central and E. Europe","lev_qoq",-0.09,-0.38,-0.04
"6","Central and E. Europe","lev_qoq_upd",0.04,-0.23,0.08
"7","Central and E. Europe","med_leverage",0.02,0.11,-0.21
"8","Central and E. Europe","ndc_qoq",-0.11,0.03,-0.23
"9","Emerging Asia","lev_qoq",-0.18,-0.43,-0.09
"10","Emerging Asia","lev_qoq_upd",-0.29,-0.32,-0.24
"11","Emerging Asia","med_leverage",-0.15,-0.45,0.08
"12","Emerging Asia","ndc_qoq",0.05,0.17,-0.09
"13","Latin America","lev_qoq",0.02,0.09,-0.12
"14","Latin America","lev_qoq_upd",-0.26,-0.21,-0.44
"15","Latin America","med_leverage",-0.26,-0.15,-0.25
"16","Latin America","ndc_qoq",-0.1,0.25,-0.37
"17","ME/Africa","lev_qoq",-0.06,-0.15,-0.07
"18","ME/Africa","lev_qoq_upd",-0.02,-0.14,-0.03
"19","ME/Africa","med_leverage",0.06,0.06,-0.12
"20","ME/Africa","ndc_qoq",0,0.18,-0.01
"21","North America","lev_qoq",-0.15,-0.11,-0.29
"22","North America","lev_qoq_upd",-0.17,-0.12,-0.29
"23","North America","med_leverage",0.02,-0.16,0.24
"24","North America","ndc_qoq",-0.05,-0.03,0.15
"25","W. Europe","lev_qoq",-0.04,-0.22,0.03
"26","W. Europe","lev_qoq_upd",0,-0.12,0.08
"27","W. Europe","med_leverage",0.2,0.09,0.12
"28","W. Europe","ndc_qoq",0.08,0.16,0.04
