"","block","variable","full","postGFC","preGFC"
"1","Asia Pacific","lev_qoq","0.023","0.000","0.241"
"2","Asia Pacific","lev_qoq_upd","0.000","0.000","0.057"
"3","Asia Pacific","med_leverage","0.003","0.323","0.431"
"4","Asia Pacific","ndc_qoq","0.854","0.072","0.613"
"5","Central and E. Europe","lev_qoq","0.309","0.002","0.755"
"6","Central and E. Europe","lev_qoq_upd","0.611","0.073","0.490"
"7","Central and E. Europe","med_leverage","0.807","0.398","0.063"
"8","Central and E. Europe","ndc_qoq","0.207","0.834","0.049"
"9","Emerging Asia","lev_qoq","0.033","0.000","0.459"
"10","Emerging Asia","lev_qoq_upd","0.001","0.011","0.033"
"11","Emerging Asia","med_leverage","0.088","0.000","0.506"
"12","Emerging Asia","ndc_qoq","0.567","0.200","0.449"
"13","Latin America","lev_qoq","0.778","0.487","0.304"
"14","Latin America","lev_qoq_upd","0.002","0.102","0.000"
"15","Latin America","med_leverage","0.002","0.232","0.031"
"16","Latin America","ndc_qoq","0.264","0.050","0.001"
"17","ME/Africa","lev_qoq","0.504","0.230","0.532"
"18","ME/Africa","lev_qoq_upd","0.819","0.287","0.808"
"19","ME/Africa","med_leverage","0.518","0.627","0.298"
"20","ME/Africa","ndc_qoq","0.959","0.151","0.935"
"21","North America","lev_qoq","0.084","0.377","0.010"
"22","North America","lev_qoq_upd","0.049","0.350","0.010"
"23","North America","med_leverage","0.822","0.212","0.033"
"24","North America","ndc_qoq","0.553","0.807","0.194"
"25","W. Europe","lev_qoq","0.644","0.092","0.826"
"26","W. Europe","lev_qoq_upd","0.967","0.344","0.514"
"27","W. Europe","med_leverage","0.020","0.501","0.284"
"28","W. Europe","ndc_qoq","0.339","0.207","0.740"
