"spec","N","adj_R2","wald_p_CL","wald_p_DK","term","pre_est","pre_t","pre_star","shift_est","shift_t","shift_star","post_est","post_t","post_star"
"spec1",4548,0.279288841963579,3.03591169848859e-36,1.45610652012655e-07,"VIX_t","-0.526","-13.067","***","0.310","7.637","***","-0.216","-7.145","***"
"spec1",4548,0.279288841963579,3.03591169848859e-36,1.45610652012655e-07,"delta_VIX","-0.795","-16.339","***","0.280","4.922","***","-0.515","-15.395","***"
"spec1",4548,0.279288841963579,3.03591169848859e-36,1.45610652012655e-07,"VIX_t:credit_l","0.022","0.167","","-0.075","-0.512","","-0.053","-0.548",""
"spec1",4548,0.279288841963579,3.03591169848859e-36,1.45610652012655e-07,"credit_l_lag:VIX_lag","-0.469","-2.079","**","0.419","1.767","*","-0.050","-0.542",""
"spec2",4766,0.274581721493781,3.23184061195191e-34,1.10478374781913e-06,"VIX_t","-0.490","-12.118","***","0.270","6.412","***","-0.221","-7.795","***"
"spec2",4766,0.274581721493781,3.23184061195191e-34,1.10478374781913e-06,"delta_VIX","-0.799","-16.018","***","0.284","4.722","***","-0.516","-16.489","***"
"spec2",4766,0.274581721493781,3.23184061195191e-34,1.10478374781913e-06,"VIX_t:credit_nb_l","0.577","1.762","*","0.021","0.068","","0.598","8.129","***"
"spec2",4766,0.274581721493781,3.23184061195191e-34,1.10478374781913e-06,"credit_nb_l_lag:VIX_lag","-0.561","-1.953","*","0.959","2.830","***","0.398","3.508","***"
"spec3",4536,0.280911595249521,2.11777576370786e-37,8.14727146403021e-08,"VIX_t","-0.526","-12.811","***","0.313","7.576","***","-0.213","-6.976","***"
"spec3",4536,0.280911595249521,2.11777576370786e-37,8.14727146403021e-08,"delta_VIX","-0.798","-16.340","***","0.282","4.957","***","-0.515","-15.285","***"
"spec3",4536,0.280911595249521,2.11777576370786e-37,8.14727146403021e-08,"VIX_t:credit_a","0.103","0.638","","-0.196","-1.020","","-0.093","-0.976",""
"spec3",4536,0.280911595249521,2.11777576370786e-37,8.14727146403021e-08,"credit_a_lag:VIX_lag","-0.512","-2.268","**","0.416","1.977","**","-0.097","-1.115",""
"spec4",4402,0.278915934346247,2.04242368809369e-41,6.26153138964015e-11,"VIX_t","-0.523","-13.110","***","0.306","8.140","***","-0.217","-7.848","***"
"spec4",4402,0.278915934346247,2.04242368809369e-41,6.26153138964015e-11,"delta_VIX","-0.796","-16.093","***","0.279","4.982","***","-0.517","-16.499","***"
"spec4",4402,0.278915934346247,2.04242368809369e-41,6.26153138964015e-11,"VIX_t:debt_l","-0.031","-0.063","","0.846","1.950","*","0.815","2.443","**"
"spec4",4402,0.278915934346247,2.04242368809369e-41,6.26153138964015e-11,"debt_l_lag:VIX_lag","-0.272","-0.536","","0.299","0.612","","0.027","0.232",""
"spec5",4388,0.283745965482235,2.71768570902809e-34,9.58463876778435e-08,"VIX_t","-0.522","-12.572","***","0.317","8.177","***","-0.204","-7.470","***"
"spec5",4388,0.283745965482235,2.71768570902809e-34,9.58463876778435e-08,"delta_VIX","-0.798","-16.167","***","0.277","4.882","***","-0.521","-16.507","***"
"spec5",4388,0.283745965482235,2.71768570902809e-34,9.58463876778435e-08,"VIX_t:debt_a","0.409","0.788","","0.653","1.655","*","1.061","3.207","***"
"spec5",4388,0.283745965482235,2.71768570902809e-34,9.58463876778435e-08,"debt_a_lag:VIX_lag","0.266","0.874","","0.341","0.701","","0.607","2.176","**"
"spec6",4337,0.288554107088598,1.80167768274759e-37,3.65152712510304e-10,"VIX_t","-0.514","-13.490","***","0.290","7.405","***","-0.224","-7.794","***"
"spec6",4337,0.288554107088598,1.80167768274759e-37,3.65152712510304e-10,"delta_VIX","-0.795","-16.400","***","0.279","4.906","***","-0.516","-16.192","***"
"spec6",4337,0.288554107088598,1.80167768274759e-37,3.65152712510304e-10,"VIX_t:equity_l","3.027","3.050","***","-2.057","-2.458","**","0.970","1.621",""
"spec6",4337,0.288554107088598,1.80167768274759e-37,3.65152712510304e-10,"equity_l_lag:VIX_lag","-0.369","-0.509","","1.009","1.316","","0.640","5.753","***"
"spec7",4355,0.287799777566967,2.32678933499918e-28,1.12809972659704e-16,"VIX_t","-0.539","-12.172","***","0.333","8.235","***","-0.206","-7.551","***"
"spec7",4355,0.287799777566967,2.32678933499918e-28,1.12809972659704e-16,"delta_VIX","-0.785","-15.671","***","0.261","4.505","***","-0.524","-16.278","***"
"spec7",4355,0.287799777566967,2.32678933499918e-28,1.12809972659704e-16,"VIX_t:equity_a","2.799","1.584","","-1.942","-1.389","","0.857","1.538",""
"spec7",4355,0.287799777566967,2.32678933499918e-28,1.12809972659704e-16,"equity_a_lag:VIX_lag","-0.699","-0.873","","1.024","1.236","","0.324","2.245","**"
"spec8",4611,0.00513000417065779,9.88720213796081e-16,1.39175845734564e-10,"VIX_t","-0.000","-2.053","**","-0.000","-0.155","","-0.000","-2.825","***"
"spec8",4611,0.00513000417065779,9.88720213796081e-16,1.39175845734564e-10,"delta_VIX","0.001","2.281","**","-0.001","-1.940","*","0.000","1.031",""
"spec8",4611,0.00513000417065779,9.88720213796081e-16,1.39175845734564e-10,"VIX_t:credit_l","0.001","3.651","***","-0.001","-1.862","*","0.000","1.180",""
"spec8",4611,0.00513000417065779,9.88720213796081e-16,1.39175845734564e-10,"credit_l_lag:VIX_lag","0.000","0.018","","-0.000","-0.544","","-0.000","-1.180",""
"spec9",4904,0.00629910526669875,3.4760002306336e-30,8.79787575554696e-15,"VIX_t","-0.000","-1.993","**","-0.000","-0.295","","-0.000","-2.865","***"
"spec9",4904,0.00629910526669875,3.4760002306336e-30,8.79787575554696e-15,"delta_VIX","0.001","2.479","**","-0.000","-2.015","**","0.000","1.311",""
"spec9",4904,0.00629910526669875,3.4760002306336e-30,8.79787575554696e-15,"VIX_t:credit_nb_l","-0.000","-0.404","","0.001","1.557","","0.001","0.830",""
"spec9",4904,0.00629910526669875,3.4760002306336e-30,8.79787575554696e-15,"credit_nb_l_lag:VIX_lag","0.002","3.145","***","-0.004","-5.351","***","-0.002","-6.612","***"
"spec10",4611,0.00494745827380572,7.75856845748315e-16,2.13462318858067e-12,"VIX_t","-0.000","-2.074","**","-0.000","-0.051","","-0.000","-2.608","***"
