"spec","term","estimate","std.error","t.value","p.value","stars","se_type","subsample","N","adj_R2","bp.p","cd.p","bg.p","spec_num","block"
"spec1","VIX_t","-0.382","0.028","-13.673",9.99363872925305e-42,3,"CL","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec1","delta_VIX","-0.570","0.033","-17.460",4.16086724234037e-66,3,"CL","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec1","VIX_t:credit_l","0.121","0.066","1.844",0.0653142142701114,1,"CL","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec1","credit_l_lag:VIX_lag","-0.111","0.077","-1.437",0.150833063883525,0,"CL","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec2","VIX_t","-0.373","0.027","-13.594",2.58751110229283e-41,3,"CL","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec2","delta_VIX","-0.575","0.029","-19.529",9.67971020639534e-82,3,"CL","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec2","VIX_t:credit_nb_l","0.758","0.085","8.904",7.5787108842385e-19,3,"CL","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec2","credit_nb_l_lag:VIX_lag","0.185","0.066","2.826",0.00472765561563027,3,"CL","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec3","VIX_t","-0.381","0.028","-13.608",2.35646209942591e-41,3,"CL","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec3","delta_VIX","-0.573","0.033","-17.348",2.63985913605528e-65,3,"CL","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec3","VIX_t:credit_a","0.167","0.067","2.496",0.0125960652300533,2,"CL","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec3","credit_a_lag:VIX_lag","-0.135","0.070","-1.912",0.0559801306596443,1,"CL","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec4","VIX_t","-0.385","0.028","-13.668",1.1268200665312e-41,3,"CL","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec4","delta_VIX","-0.561","0.031","-17.965",1.13957137221547e-69,3,"CL","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec4","VIX_t:debt_l","0.432","0.301","1.435",0.151388788209789,0,"CL","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec4","debt_l_lag:VIX_lag","-0.118","0.142","-0.829",0.407377999183983,0,"CL","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec5","VIX_t","-0.379","0.029","-13.179",6.43541642233044e-39,3,"CL","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec5","delta_VIX","-0.562","0.031","-17.961",1.24018945779691e-69,3,"CL","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec5","VIX_t:debt_a","0.715","0.304","2.351",0.0187528848272616,2,"CL","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec5","debt_a_lag:VIX_lag","0.572","0.152","3.773",0.000163758780564807,3,"CL","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec6","VIX_t","-0.385","0.027","-14.317",1.88497049225113e-45,3,"CL","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec6","delta_VIX","-0.564","0.032","-17.857",7.43661733215266e-69,3,"CL","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec6","VIX_t:equity_l","1.416","0.678","2.090",0.0367184604383464,2,"CL","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec6","equity_l_lag:VIX_lag","0.520","0.136","3.821",0.000134607689003236,3,"CL","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec7","VIX_t","-0.387","0.029","-13.503",1.00422298931426e-40,3,"CL","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
"spec7","delta_VIX","-0.558","0.031","-17.757",3.87964523813245e-68,3,"CL","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
"spec7","VIX_t:equity_a","1.089","0.603","1.807",0.0708991423203718,1,"CL","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
"spec7","equity_a_lag:VIX_lag","0.284","0.169","1.680",0.0929333482486047,1,"CL","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
