"spec","term","estimate","std.error","t.value","p.value","stars","se_type","subsample","N","adj_R2","bp.p","cd.p","bg.p","spec_num","block"
"spec1","VIX_t","-0.382","0.112","-3.393",0.000697229030342896,3,"DK","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec1","delta_VIX","-0.570","0.084","-6.803",1.15746823521236e-11,3,"DK","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec1","VIX_t:credit_l","0.121","0.102","1.187",0.235458815599108,0,"DK","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec1","credit_l_lag:VIX_lag","-0.111","0.161","-0.690",0.490459128676274,0,"DK","full",4548,"0.26",0,0,9.6625219981042e-87,1,"1-7"
"spec2","VIX_t","-0.373","0.110","-3.398",0.000683249884028868,3,"DK","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec2","delta_VIX","-0.575","0.083","-6.910",5.48732118570095e-12,3,"DK","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec2","VIX_t:credit_nb_l","0.758","0.227","3.336",0.000855091786899363,3,"DK","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec2","credit_nb_l_lag:VIX_lag","0.185","0.187","0.990",0.32216506875543,0,"DK","full",4766,"0.25",0,0,4.18149955851133e-98,2,"1-7"
"spec3","VIX_t","-0.381","0.112","-3.398",0.000683475835773925,3,"DK","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec3","delta_VIX","-0.573","0.084","-6.843",8.80239611867267e-12,3,"DK","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec3","VIX_t:credit_a","0.167","0.122","1.364",0.172611648524039,0,"DK","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec3","credit_a_lag:VIX_lag","-0.135","0.175","-0.768",0.442436994364307,0,"DK","full",4536,"0.26",0,0,1.90231136902667e-86,3,"1-7"
"spec4","VIX_t","-0.385","0.114","-3.378",0.000735228021896741,3,"DK","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec4","delta_VIX","-0.561","0.082","-6.811",1.103269019228e-11,3,"DK","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec4","VIX_t:debt_l","0.432","0.327","1.320",0.186931084742565,0,"DK","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec4","debt_l_lag:VIX_lag","-0.118","0.206","-0.570",0.568408585570194,0,"DK","full",4402,"0.26",0,0,1.22031849916486e-81,4,"1-7"
"spec5","VIX_t","-0.379","0.113","-3.368",0.000763057133073338,3,"DK","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec5","delta_VIX","-0.562","0.082","-6.839",9.08651640142632e-12,3,"DK","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec5","VIX_t:debt_a","0.715","0.302","2.370",0.0178555667087026,2,"DK","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec5","debt_a_lag:VIX_lag","0.572","0.318","1.800",0.0719575648732157,1,"DK","full",4388,"0.26",0,0,1.46884129925145e-86,5,"1-7"
"spec6","VIX_t","-0.385","0.110","-3.487",0.000492756527092048,3,"DK","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec6","delta_VIX","-0.564","0.083","-6.838",9.1810897991166e-12,3,"DK","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec6","VIX_t:equity_l","1.416","0.489","2.897",0.00378938600302876,3,"DK","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec6","equity_l_lag:VIX_lag","0.520","0.231","2.247",0.024684291401312,2,"DK","full",4337,"0.27",0,0,2.51466243195306e-65,6,"1-7"
"spec7","VIX_t","-0.387","0.113","-3.424",0.000622517215002892,3,"DK","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
"spec7","delta_VIX","-0.558","0.081","-6.868",7.4390115453868e-12,3,"DK","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
"spec7","VIX_t:equity_a","1.089","0.448","2.431",0.0150909240638131,2,"DK","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
"spec7","equity_a_lag:VIX_lag","0.284","0.294","0.966",0.334036292944889,0,"DK","full",4355,"0.26",0,0,1.23100223796139e-81,7,"1-7"
