"spec","term","estimate","std.error","t.value","p.value","stars","se_type","subsample","N","adj_R2","bp.p","cd.p","bg.p","spec_num","block"
"spec1","VIX_t","-0.575","0.046","-12.527",1.09213754374203e-34,3,"CL","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec1","delta_VIX","-0.763","0.049","-15.488",3.94827205901743e-51,3,"CL","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec1","VIX_t:credit_l","0.042","0.134","0.313",0.754531194939819,0,"CL","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec1","credit_l_lag:VIX_lag","-0.419","0.208","-2.017",0.0438171104408304,2,"CL","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec2","VIX_t","-0.536","0.047","-11.431",1.97928484094683e-29,3,"CL","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec2","delta_VIX","-0.772","0.051","-15.119",3.481693373546e-49,3,"CL","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec2","VIX_t:credit_nb_l","0.706","0.349","2.023",0.0432071431214697,2,"CL","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec2","credit_nb_l_lag:VIX_lag","-0.435","0.286","-1.521",0.128331290768163,0,"CL","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec3","VIX_t","-0.576","0.047","-12.329",1.09573278369607e-33,3,"CL","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec3","delta_VIX","-0.765","0.049","-15.468",5.43698408032907e-51,3,"CL","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec3","VIX_t:credit_a","0.101","0.153","0.661",0.508768422991868,0,"CL","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec3","credit_a_lag:VIX_lag","-0.473","0.223","-2.123",0.0338655163981199,2,"CL","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec4","VIX_t","-0.568","0.045","-12.596",5.51215836750772e-35,3,"CL","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec4","delta_VIX","-0.765","0.050","-15.282",8.71419182233946e-50,3,"CL","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec4","VIX_t:debt_l","0.576","0.489","1.178",0.239043964111471,0,"CL","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec4","debt_l_lag:VIX_lag","0.406","0.542","0.749",0.454063205856491,0,"CL","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec5","VIX_t","-0.561","0.046","-12.258",2.80465323329806e-33,3,"CL","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec5","delta_VIX","-0.770","0.050","-15.538",2.71305348848247e-51,3,"CL","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec5","VIX_t:debt_a","0.749","0.581","1.289",0.197727157807063,0,"CL","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec5","debt_a_lag:VIX_lag","0.570","0.427","1.337",0.181449533009989,0,"CL","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec6","VIX_t","-0.564","0.043","-12.998",4.92887328333422e-37,3,"CL","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec6","delta_VIX","-0.760","0.049","-15.382",2.37422057330793e-50,3,"CL","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec6","VIX_t:equity_l","3.518","0.836","4.207",2.71520035653046e-05,3,"CL","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec6","equity_l_lag:VIX_lag","0.006","0.562","0.011",0.990915800524573,0,"CL","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec7","VIX_t","-0.574","0.049","-11.617",3.72838613602503e-30,3,"CL","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
"spec7","delta_VIX","-0.761","0.051","-15.045",2.53459058756786e-48,3,"CL","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
"spec7","VIX_t:equity_a","3.451","1.787","1.931",0.0536009280897154,1,"CL","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
"spec7","equity_a_lag:VIX_lag","-0.071","0.785","-0.090",0.928214297935614,0,"CL","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
