"spec","term","estimate","std.error","t.value","p.value","stars","se_type","subsample","N","adj_R2","bp.p","cd.p","bg.p","spec_num","block"
"spec1","VIX_t","-0.575","0.125","-4.608",4.33255479129985e-06,3,"DK","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec1","delta_VIX","-0.763","0.117","-6.517",9.11427708085601e-11,3,"DK","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec1","VIX_t:credit_l","0.042","0.163","0.258",0.79649180197148,0,"DK","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec1","credit_l_lag:VIX_lag","-0.419","0.198","-2.122",0.0339758153844138,2,"DK","preGFC",2008,"0.24",4.02747932957553e-146,0,1.42889307997606e-45,1,"1-7"
"spec2","VIX_t","-0.536","0.119","-4.493",7.3784757113703e-06,3,"DK","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec2","delta_VIX","-0.772","0.111","-6.954",4.66581375887871e-12,3,"DK","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec2","VIX_t:credit_nb_l","0.706","0.358","1.972",0.0487253229499549,2,"DK","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec2","credit_nb_l_lag:VIX_lag","-0.435","0.410","-1.061",0.288913749854224,0,"DK","preGFC",2224,"0.24",4.14129127637275e-155,0,3.0465767851881e-56,2,"1-7"
"spec3","VIX_t","-0.576","0.124","-4.636",3.79348259987893e-06,3,"DK","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec3","delta_VIX","-0.765","0.116","-6.578",6.09942685830887e-11,3,"DK","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec3","VIX_t:credit_a","0.101","0.168","0.602",0.546953703248932,0,"DK","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec3","credit_a_lag:VIX_lag","-0.473","0.215","-2.197",0.0281455737177078,2,"DK","preGFC",1996,"0.24",3.53648903366015e-146,0,7.59320088789779e-46,3,"1-7"
"spec4","VIX_t","-0.568","0.121","-4.708",2.67871710369026e-06,3,"DK","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec4","delta_VIX","-0.765","0.118","-6.464",1.29876358080792e-10,3,"DK","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec4","VIX_t:debt_l","0.576","0.990","0.582",0.560863045415584,0,"DK","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec4","debt_l_lag:VIX_lag","0.406","0.803","0.505",0.613443107937678,0,"DK","preGFC",1925,"0.24",4.51012858813101e-166,0,8.78843960656422e-46,4,"1-7"
"spec5","VIX_t","-0.561","0.120","-4.683",3.02414556070042e-06,3,"DK","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec5","delta_VIX","-0.770","0.120","-6.438",1.53308112185117e-10,3,"DK","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec5","VIX_t:debt_a","0.749","0.686","1.092",0.275096696145446,0,"DK","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec5","debt_a_lag:VIX_lag","0.570","0.479","1.191",0.233687983438996,0,"DK","preGFC",1914,"0.24",1.0391361897529e-165,0,6.5862295128477e-51,5,"1-7"
"spec6","VIX_t","-0.564","0.114","-4.931",8.91714129614025e-07,3,"DK","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec6","delta_VIX","-0.760","0.117","-6.498",1.04446408868534e-10,3,"DK","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec6","VIX_t:equity_l","3.518","0.676","5.207",2.13360128389333e-07,3,"DK","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec6","equity_l_lag:VIX_lag","0.006","0.821","0.008",0.993778252663475,0,"DK","preGFC",1906,"0.25",6.33013649405025e-125,0,3.15879965835937e-39,6,"1-7"
"spec7","VIX_t","-0.574","0.117","-4.930",8.98450233362005e-07,3,"DK","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
"spec7","delta_VIX","-0.761","0.118","-6.441",1.51304545484066e-10,3,"DK","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
"spec7","VIX_t:equity_a","3.451","0.998","3.459",0.0005542534580532,3,"DK","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
"spec7","equity_a_lag:VIX_lag","-0.071","0.578","-0.122",0.902733331828775,0,"DK","preGFC",1879,"0.25",8.27826506861815e-169,0,3.51971841105049e-50,7,"1-7"
