"spec","term","estimate","std.error","t.value","p.value","stars","se_type","subsample","N","adj_R2","bp.p","cd.p","bg.p","spec_num","block"
"spec1","VIX_t","-0.154","0.024","-6.442",1.41213383783775e-10,3,"CL","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec1","delta_VIX","-0.545","0.035","-15.648",1.01506359986622e-52,3,"CL","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec1","VIX_t:credit_l","-0.158","0.098","-1.605",0.108605202482028,0,"CL","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec1","credit_l_lag:VIX_lag","-0.172","0.098","-1.760",0.0785983614261788,1,"CL","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec2","VIX_t","-0.168","0.023","-7.426",1.52337811371738e-13,3,"CL","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec2","delta_VIX","-0.543","0.032","-16.795",4.70889042510477e-60,3,"CL","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec2","VIX_t:credit_nb_l","0.358","0.072","4.943",8.21450715284379e-07,3,"CL","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec2","credit_nb_l_lag:VIX_lag","0.139","0.120","1.162",0.24537635494857,0,"CL","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec3","VIX_t","-0.152","0.024","-6.220",5.82289750259821e-10,3,"CL","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec3","delta_VIX","-0.545","0.035","-15.503",8.09874157071163e-52,3,"CL","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec3","VIX_t:credit_a","-0.188","0.098","-1.914",0.0557349285618628,1,"CL","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec3","credit_a_lag:VIX_lag","-0.213","0.101","-2.102",0.0356824763344836,2,"CL","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec4","VIX_t","-0.168","0.023","-7.243",5.8811039218777e-13,3,"CL","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec4","delta_VIX","-0.543","0.033","-16.698",2.41962977942647e-59,3,"CL","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec4","VIX_t:debt_l","0.594","0.355","1.675",0.0940899316123679,1,"CL","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec4","debt_l_lag:VIX_lag","-0.174","0.123","-1.411",0.158442324636287,0,"CL","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec5","VIX_t","-0.166","0.024","-6.832",1.05559430729582e-11,3,"CL","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec5","delta_VIX","-0.542","0.033","-16.525",3.26737214998371e-58,3,"CL","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec5","VIX_t:debt_a","0.815","0.343","2.374",0.0176812273488717,2,"CL","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec5","debt_a_lag:VIX_lag","0.392","0.283","1.383",0.166723918468447,0,"CL","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec6","VIX_t","-0.170","0.024","-7.174",9.70410313475398e-13,3,"CL","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec6","delta_VIX","-0.544","0.033","-16.476",7.62902675494458e-58,3,"CL","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec6","VIX_t:equity_l","0.802","0.649","1.237",0.216097483083272,0,"CL","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec6","equity_l_lag:VIX_lag","0.486","0.130","3.731",0.000194817003268237,3,"CL","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec7","VIX_t","-0.167","0.024","-6.989",3.56806260085084e-12,3,"CL","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
"spec7","delta_VIX","-0.544","0.033","-16.469",7.45779557739103e-58,3,"CL","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
"spec7","VIX_t:equity_a","0.702","0.594","1.183",0.237101030431167,0,"CL","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
"spec7","equity_a_lag:VIX_lag","0.160","0.167","0.958",0.337924374163726,0,"CL","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
