"spec","term","estimate","std.error","t.value","p.value","stars","se_type","subsample","N","adj_R2","bp.p","cd.p","bg.p","spec_num","block"
"spec1","VIX_t","-0.154","0.090","-1.702",0.0889488469330522,1,"DK","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec1","delta_VIX","-0.545","0.073","-7.498",8.93573451704943e-14,3,"DK","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec1","VIX_t:credit_l","-0.158","0.123","-1.285",0.198829134355612,0,"DK","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec1","credit_l_lag:VIX_lag","-0.172","0.163","-1.054",0.29190348045435,0,"DK","postGFC",2540,"0.37",2.32243453267485e-55,0,1.40600581812031e-21,1,"1-7"
"spec2","VIX_t","-0.168","0.087","-1.928",0.0540055370954458,1,"DK","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec2","delta_VIX","-0.543","0.071","-7.641",3.05612761652439e-14,3,"DK","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec2","VIX_t:credit_nb_l","0.358","0.282","1.266",0.205479368726092,0,"DK","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec2","credit_nb_l_lag:VIX_lag","0.139","0.142","0.982",0.326177289293199,0,"DK","postGFC",2542,"0.37",3.95002170110071e-53,0,5.9604654630854e-37,2,"1-7"
"spec3","VIX_t","-0.152","0.091","-1.667",0.0956269137194486,1,"DK","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec3","delta_VIX","-0.545","0.073","-7.461",1.18301429480823e-13,3,"DK","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec3","VIX_t:credit_a","-0.188","0.128","-1.467",0.142442148602175,0,"DK","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec3","credit_a_lag:VIX_lag","-0.213","0.181","-1.175",0.240053246848982,0,"DK","postGFC",2540,"0.37",1.74505873557091e-56,0,1.84569122983065e-21,3,"1-7"
"spec4","VIX_t","-0.168","0.086","-1.946",0.0518101020525605,1,"DK","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec4","delta_VIX","-0.543","0.070","-7.763",1.21213305094544e-14,3,"DK","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec4","VIX_t:debt_l","0.594","0.320","1.854",0.0638995994568779,1,"DK","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec4","debt_l_lag:VIX_lag","-0.174","0.236","-0.737",0.461138085768774,0,"DK","postGFC",2477,"0.37",1.6430409565929e-55,0,5.30007676806383e-21,4,"1-7"
"spec5","VIX_t","-0.166","0.086","-1.917",0.0553230503323119,1,"DK","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec5","delta_VIX","-0.542","0.070","-7.719",1.69412716370268e-14,3,"DK","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec5","VIX_t:debt_a","0.815","0.300","2.721",0.00655465245061246,3,"DK","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec5","debt_a_lag:VIX_lag","0.392","0.333","1.176",0.23961673692626,0,"DK","postGFC",2474,"0.37",1.24117865380617e-49,0,3.14904213436859e-20,5,"1-7"
"spec6","VIX_t","-0.170","0.088","-1.928",0.0540278261537772,1,"DK","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec6","delta_VIX","-0.544","0.072","-7.551",6.13065890641688e-14,3,"DK","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec6","VIX_t:equity_l","0.802","0.257","3.123",0.0018124984051056,3,"DK","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec6","equity_l_lag:VIX_lag","0.486","0.182","2.674",0.00755305572769533,3,"DK","postGFC",2431,"0.38",2.61924072441165e-52,0,1.29311114101845e-10,6,"1-7"
"spec7","VIX_t","-0.167","0.086","-1.948",0.0515849137059827,1,"DK","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
"spec7","delta_VIX","-0.544","0.070","-7.800",9.10403512389197e-15,3,"DK","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
"spec7","VIX_t:equity_a","0.702","0.304","2.308",0.0211095984731375,2,"DK","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
"spec7","equity_a_lag:VIX_lag","0.160","0.240","0.666",0.505420954554199,0,"DK","postGFC",2476,"0.37",2.96647548107243e-50,0,5.25726004716713e-22,7,"1-7"
